ID;WORD;VOCALIZED;WORD_TYPE;SYNO_SET;SYNO_SET_VOCALIZED
23;ابتدار;اِبْتِدار;مصدر;"استعجال;إسراع";"اِسْتِعْجاَل;إِسْراَع"
24;ابتداه;اِبْتِداه;مصدر;"ارتجال;";"اِرْتِجال;"
25;ابتدر;اِبْتَدَرَ;فعل;"عاجل;سارع";"عاجَلَ;سارَع"
26;ابتده;اِبْتَدَهَ;فعل;"ارتجل;";"اِرْتَجَلَ;"
27;ابتذال;اِبْتِذال;مصدر;"تهتك;";"تَهَتُك;"
28;ابتذل;اِبْتَذَلَ;فعل;"تهتّك;";"تَهتَّكَ;"
29;ابتراء;اِبْتِراَء;مصدر;"بري;نّحت";"بَرْي;نَّحْت"
30;ابترى;اِبْتَرَى;فعل;"برى;نحت";"بَرَى;نَحَتَ"
31;ابتعاث;اِبْتِعاث;مصدر;"إرسال;";"إِرْسال;"
32;ابتعث;اِبْتَعَثَ;فعل;"أرسل";"أَرْسَلَ"
33;ابتكار;ِاِبْتِكاَر;مصدر;"ابتداع";"اِبْتِداع"
34;ابتكر;اِبْتَكَرَ;فعل;"ابتدع";"اِبْتَدَعَ"
35;ابتلال;اِبْتِلال;مصدر;"تبلّل;ترطّب;تّندّي;شفاء";"تَبَلُّل;تَرَطُّب;تَّنَدّي;شِفاَء"
36;ابتل;اِبْتَلَ;فعل;"تبلّل;ترطّب;تندّى;شفاء";"تَبَلَّلَ;تَرَطَّبَ;تَنَدَّى;شِفاَء"
37;ابتلج;اِبْتَلَجَ;فعل;"ظهر";"ظَهَرَ"
38;ابتنى (بيتا);اِبْتَنىَ (بَيْتا);فعل;"بنى";"بَنَى"
39;ابتهاج;اِبْتِهاج;مصدر;"فرح;سرور;ابتهاش";"فَرَح;سُرُور;اِبْتِهاش"
40;ابتهاش;اِبْتِهاش;مصدر;"ابتهاج;فرح;سرور";"اِبْتِهاج;فَرَح;سُرور"
41;ابتهال;اِبْتِهال;مصدر;"دعاء;تضرع";"دُعاء;تَضَرُع"
42;ابتهج;اِبْتَهَجَ;فعل;"فرح;سرّ;ابتهش";"فَرِحَ;سُرَّ;ابْتَهَشَ"
43;ابتهش;اِبْتَهَشَ;فعل;"ابتهج;فرح;سرّ";"اِبْتَهَجَ;فَرِحَ;سُرَّ"
44;ابتهل;اِبْتَهَلَ;فعل;"دعا;تضرع";"دَعا;تَضَرَعَ"
45;أبخس;أَبْخَس;فعل;"أنقص";"أَنْقَص"
46;أبد;أَبَد;فعل;"قدم;دّهر;دّيمومة";"قِدَم;دَّهْر;دَّيْمُومة"
47;آبد;آبِد;اسم;"وحش;غريب";"وَحْش;غَرِيْب"
48;أبد المكان;أَبِدَ المَكانَ;فعل;"أقفر";"أقْفَرَ"
49;أبد;أبَّدَ;فعل;"خلّد";"خَلَّدَ"
50;أبدى;أَبْدى;فعل;"أظهر";"أَظْهَرَ"
51;إبداع;إِبْداَع;اسم;"إجادة";"إِجاَدَة"
52;أبدع;َأَبْدَعَ;فعل;"أجاد";"أَجادَ"
53;أبدي;أَبَدِيّ;اسم;"دائم;سرمديّ";"داَئِم;سَرْمَدِيّ"
54;أبر;أَبَرَّ;فعل;"صدق;أوفى;أمضى";"صَدَقَ;أَوْفىَ;أَمْضى"
55;أبرأ;أََبْرَأَ;فعل;"أشفى";"أَشْفى"
56;إبراء;إِبْراء;اسم;"إشفاء";"إِشْفاء"
57;إبراج;إِبْراج;اسم;"إزالة;تكريم;تعظيم";"إِزالَة;تَكْرِيم;تَعْظِيم"
58;إبراك;إِبْرَاك;اسم;"إناخة";"إِناخَة"
59;إبرام;إِبْرام;اسم;"إحكام;إتمام";"إِحْكام;إِتْمَام"
60;أبرح;أَبْرَحَ;فعل;"أزال;كرّم;عظّم";"أَزاَلَ;كَرَّمَ;عَظَّمَ"
61;أبرك الجمل;أَبْرَكَ الجَمَلَ;فعل;"أناخ";"أَناخَ"
62;أبش ;أَبَّشَ ;فعل;"جمع";"جَمَعَ"
63;أبرم;أَبْرَمَ;فعل;"أحكم;أتمّ";"أَحْكَمَ;أَتَمَّ"
64;إبشار;إِبْشار;مصدر;"سرور;";"سُرُور;"
65;إبشام;إِبْشام;مصدر;"إتخام;";"إِتْخامْ;"
66;أبشر;أَبْشَرَ;فعل;"فرح;سرّ";"فَرِحَ;سُرَّ"
67;أبشع;أَبْشَع;اسم;"أقبح;";"أَقْبَح;"
68;أبشم;أَبْشَمَ;فعل;"أتخم;";"أَتْخَمَ;"
69;إبصار;إِبْصاَر;اسم;"رؤية;";"رُؤْيَة;"
70;أبصر;أَبْصَرَ;فعل;"رأى;";"رَأَى;"
71;أبطأ ;أَبْطَأَ ;فعل;"أخّر;";"أَخَّرَ;"
72;إبطاء;إِبْطاءْ;اسم;"تأخر;";"تَأَخُرْ;"
73;إبطال;إِبْطاَل;مصدر;"إفساد;إزالة";"إِفْساد;إِزاَلة"
74;إبطان;إِبْطان;مصدر;"إبطان;";"َإِبْطانْ;"
75;أبطل ;أَبْطَلَ ;فعل;"أفسد;أزال";"أَفْسَدَ;أَزاَلَ"
76;أبطن ;أَبْطَنَ ;فعل;"أخفى;";"أَخْفى;"
77;إبغاء;إِبْغاء;مصدر;"طلب;";"طَلَب;"
78;أبغى;أَبْغَى;فعل;"طلب;";"طَلَبَ;"
79;إبغاض;إِبْغاَض;مصدر;"كره;مقت";"كُرْه;مَقْت"
80;أبغض;أَبْغَضَ;فعل;"كره;مقت";"كَرِهَ;مَقَتَ"
81;أبقى;أَبْقَى;فعل;"أثبت;أدام";"أَثْبَتَ;أَدامَ"
82;إبقاء;إِبْقاء;مصدر;"إثبات;إدامة";"إِثْبات;إِداَمَة"
83;أبقل (المكان);أَبْقَلَ (المَكانُ);فعل;"أنبت بقله";"أَنْبَتَ بَقْلَهُ"
84;إبكار;إِبْكار;مصدر;"تبكير;تقدم;إسراع";"تَبْكيرْ;تَقَدُم;إِسْراع"
85;أبكر;أَبْكَرَ;فعل;"بكّر;تقدّم;أسرع";"بَكَّرَ;تَقَدَّمَ;أَسْرَعَ"
86;أبكم;أَبْكَمَ;فعل;"أخرس";"أَخْرَس"
87;أبل;أَبَلَّ;فعل;"أبرأ;أشفى";"أَبْرَأَ;أَشَفى"
88;إبلاد;إِبْلاَد;مصدر;"ملازمة البلد";"مُلاَزِمَة البَلَد"
89;إبلاس;إِبْلاس;مصدر;"يأس;قنوط";"يَأْس;قُنوط"
90;إبلال;إِبْلال;مصدر;"شفاء;برء";"شِفاء;بُرْء"
91;إبلام;إِبْلام;مصدر;"سكوت";"سُكوت"
92;أبلخ;أَبْلَخْ;اسم;"متكبّر";"مُتَكَبِّر"
93;أبلد ;أَبْلَدَ ;فعل;"لزم";"لَزِمَ"
94;أبلد;أَبْلَدْ;اسم;"أحمق;أبله";"أَحْمَق;أَبْلَه"
95;أبلس (من رحمة الله) ;أَبْلَسَ (مِنْ رَحمَةِ اللَّهِ) ;فعل;"يئس;قنط";"يَئِسَ;قَنَطَ"
96;أبلغ (فلانا أمرا);أَبْلَغَ (فُلاناً أَمْرًا);فعل;"بلّغ;أوصل إليه";"بَلَّغَ;أَوْصَلَ إِلَيْهِ"
97;أبلم;أَبْلَمَ;فعل;"سكت";"سَكَتَ"
98;أبله;أَبْلَه;اسم;"غبي;أحمق";"غَبِي;أحْمَق"
99;أبن;أَبَنَ;فعل;"عاب;ذمّ";"عابَ;ذَمَّ"
100;أبن;أَبَّنَ;فعل;"مدح";"مَدَحَ"
101;آبن;آبِنْ;اسم;"عائب;ذامّ";"عائِب;ذامّ"
102;أبنة;أُبْنَة;اسم;"حقد;عيب";"حِقْد;عَيَب"
103;أبه ;أَبِهَ ;فعل;"فطن";"فَطِنِ"
104;أبهة;أُبَّهَة;اسم;"عظمة;كبر";"عَظَمَة;كِبَرِ"
105;أبهج;أَبْهَجَ;فعل;"أفرح;أسرّ";"أَفْرَحَ;أَسَرَّ"
106;أبي;أَبَيُّ;اسم;"متكرّه;مترفّع";"مُتَكَرِّه;مُتَرَفِّع"
107;أتى;أَتَى;فعل;"جاء;حضر";"جاءَ;حَضَرَ"
108;اتآد;اتِّآد;اسم;"تأني;تمهّل";"تَأَنِي;تَمَهُّل"
109;اتأد;اِتَّأَدَ;فعل;"تأنّى;تمهّل";"تَأَنّى;تَمَهَّلَ"
110;اتآس;اتِّآس;اسم;"يأس";"يَأس"
111;اتأس;اِتَّأَسَ;فعل;"يئس";"يَئِسَ"
112;أتأق (الإناء);أَتْأَقَ (الإناءَ);فعل;"ملأ";"مَلأَ"
113;أتب;أَتَّبَ;فعل;"أهلك";"أَهْلَك"
114;أتخم;أُتْخِمَ;فعل;"أثقل من الأكل ;أبشم";"أُثْقِلَ مِنَ الأكْلِ ;أُبْشِمَ"
115;أترس (الباب);أَتْرَسَ (البَابَ);فعل;"أغلق;أقفل";"أَغْلَقَ;أَقْفَلَ"
116;أترع ;أَتْرَعَ ;فعل;"ملأ";"مَلأَ"
117;اتساع;اِتِّساعْ;مصدر;"توسع";"تَوَسُع"
118;اتسع (المكان);اِتَّسَعَ (المَكانُ);فعل;"وسع;رحب";"وَسُعَ;رَحُبَ"
119;اتصال;اِتِّصَال;مصدر;"التمام";"اِلْتِمام"
120;اتصل ;اِتَّصَلَ ;فعل;"التأم";"اِلتَأمَ"
121;اتضاح;اِتِّضَاح;مصدر;"انكشاف;تبيان;انجلاء";"اِنْكِشاف;تِبْيان;اِنْجِلاء"
122;اتضح;اِتَّضَحَ;فعل;"انكشف;بان;انجلى";"اِنْكَشَفَ;بَانَ;اِنْجَلى"
123;اتضع;اِتَضَعَ;فعل;"تواضع";"تَواضَعَ"
124;إتعاس;إِتْعاس;مصدر;"إشقاء";"إِشْقاء"
125;أتعب;أَتْعَبَ;فعل;"أعيا";"أَعْيا"
126;أتعس;أَتْعَسَ;فعل;"أشقى";"أَشْقى"
127;اتفاق;اِتِّفاق;مصدر;"توافق;ائتلاف";"تَوافُق;اِئْتِلاف"
128;اتفق;اِتَّفَقَ;فعل;"توافق;ائتلف";"تَوافَقَ;اِئْتَلَفَ"
129;اتقاد;اِتِّقاد;مصدر;"اشتعال";"اِشْتِعال"
130;إتقان;إِتْقان;مصدر;"إجادة;إحكام";"إِجادة;إِحْكام"
131;اتقد (-ت النار);اِتَّقَدَ (-تِ النَّارُ);فعل;"اشتعل (-ت)";"اِشْتَعَلَ (-ت)"
132;أتقن العمل;أَتْقَنَ العَمَلَ;فعل;"أجاد;أحكم";"أَجَادَ;أَحْكَمَ"
133;اتكال;اِتِكال;مصدر;"اعتماد على الغير";"اِعْتِمادْ على الغَيْر"
134;اتكل;اِتَكَلَ;فعل;"اعتمد";"اِعْتَمَدَ"
135;أتلى;أَتْلى;فعل;"سبق";"سَبَقَ"
136;إتلاف;إِتْلاف;مصدر;"إهلاك;إفناء";"إِهْلاك;إِفْناء"
137;أتلع;أَتْلَع;فعل;"أعنق";"أَعْنَق"
138;أتلف;أَتْلَفَ;فعل;"أهلك;أفنى";"أَهْلَكَ;أَفْنى"
139;أتم الوعد;أَتَمَّ الوَعْدَ;فعل;"صدق;أوفى به";"صَدَقَ;أَوْفى بِهِ"
140;اتهام;اِتِّهامْ;مصدر;"رمى;شكّ";"رَمى;شَكَّ"
141;آتي;آتِي;فعل;"قادم;واصل";"قَادِم;وَاصِل"
142;إتيان;إِتْيان;مصدر;"مجيء;قدوم;وصول";"مجيء;قُدوم;وُصُول"
143;إثابة;إِثابَة;مصدر;"مكافأة;إيجار;جزاء";"مُكافَأة;إِيجَار;جَزاَء"
144;أثاب;َأَثابَ;فعل;"كافأ;آجر;جازى";"كافَأَ;آجَرَ;جَازى"
145;إثبات;إِثْباتْ;مصدر;"تأكيد;برهان;";"تَأكيد;بُرْهان;"
146;اثبأج الإناء;اِثْبَأجَّ الإناءُ;فعل;"امتلأ";"اِمْتَلأَ"
147;إجثام;إِجْثام;مصدر;"كثرة;ديمومة;";"كَثْرَة;دَيْمُومة;"
148;أجثم المطر;أَجْثَمَ المَطَرُ;فعل;"كثر;دام;";"كَثُرَ;دَام;"
149;إثخان;إِثْخان;مصدر;"مبالغة";"مُبالَغَة"
150;أثخن في العدو;أَثْخَنَ في العَدُوِّ;فعل;"بالغ في قتاله;شدّ عليه;";"بالَغَ في قِتالِه;شَدَّ عَلَيه;"
151;أثرى;أَثْرى;فعل;"اغتنى";"اِغْتَنى"
152;إثراء;إِثْراء;مصدر;"اغتناء";"اِغتِناء"
153;أثقب;أَثْقَبَ;فعل;"أوقد;أشعل;أضرم";"أَوقَدَ;أَشْعَلَ;أَضْرَمَ"
154;أثل ;أَثَّلَ ;فعل;"نمّا";"نَمَّا"
155;أثلج;أَثْلَجَ;فعل;"أفرح";"أَفْرَحَ"
156;آثم;آثِم;فعل;"خاطئ";"خَاطِئ"
157;أثم;أَثِمَ;فعل;"خطئ";"خَطِئَ"
158;أثم;أَثْم;اسم;"عقاب;جزاء;";"عِقاب;جَزاَء;"
159;إثم;إِثْم;اسم;"خطيئة";"خَطيئَة"
160;أثم;أَثَّمَ;فعل;"خطّأ";"خَطَّأَ"
161;أثنى;أَثْنى;فعل;"مدح";"مَدَحَ"
162;أثناء;أَثْناء;اسم;"خلال;أوساط;";"خِلال;أَوْساط;"
163;أثوى;أَثْوى;فعل;"أقام";"أَقامَ"
164;إثواء;إِثْواء;مصدر;"إقامة";"إِقامَة"
165;أج;أَجَّ;فعل;"لمع;توهّج;";"لَمَعَ;تَوَهَّجَ;"
166;أج الماء;أَجَّ الماءُ;فعل;"ملح;مرّ;";"مَلُحَ;مَرَّ;"
167;أجاب;أَجابَ;فعل;"ردّ";"رَدَّ"
168;أجاج;أُجاج;اسم;"مالح;مرّ;";"مالِح;مُرّ;"
169;أجاج;أَجّاج;اسم;"مضطرم;ملتهب;";"مضطرم;مُلْتَهِب;"
170;أجار;أَجارَ;فعل;"أنقذ;أغاث;";"أَنْقَذَ;أَغَاث;"
171;إجارة;إِجَارَة;اسم;"إنقاذ;إغاثة;";"إِنْقَاذ;إِغاثَة;"
172;إجازة;إِجازَة;اسم;"إباحة;تسويغ;سماح";"إِباحَة;تَسْويغ;سَمَاح"
173;أجاز;أَجازَ;فعل;"أباح;سوّغ;سمح";"أَباحَ;سَوَّغَ;سَمَحَ"
174;أجت النار;أَجّتِ النارُ;فعل;"اضطرمت;تلهّبت;";"اضطرمت;تَلَهَّبَت;"
175;اجتذاب;اِجْتِذاب;فعل;"جذب;سلب;";"جَذْب;سَلْب;"
176;اجتذال;اِجْتِذال;مصدر;"فرح;ابتهاج";"فَرَحْ;اِبْتِهاج"
177;اجتذب;اِجْتَذَبَ;فعل;" جذب;شدّ";" جَذَبَ;شَدَّ"
178;اجتذل;اِجْتَذَلَ;فعل;"فرح;ابتهج";"فَرِحَ;اِبْتَهَجَ"
179;اجترام;اِجْتِرام;مصدر;"إذناب;اكتساب";"إِذْناب;اِكْتِساب"
180;اجترم;اِجْتَرَمَ;فعل;"أذنب;اكتسب";"أَذْنَبَ;اِكْتَسَبَ"
181;اجتص;اِجْتَصَّ;فعل;"اجتمع;تقارب";"اِجْتَمَعَ;تَقارَبَ"
182;اجتصاص;اِجْتِصاص;مصدر;"اجتماع;تقارب";"اِجْتِماع;تَقارُب"
183;اجتغف;اِجْتَغَفَ;فعل;"اقتلع;";"اِقْتَلَع;"
184;اجتفى;اِجْتَفى;فعل;"أزال;";"أَزالَ;"
185;اجتلاب;اِجْتِلاب;مصدر;"إتيان;";"إِتْيان;"
186;اجتلب;اِجْتَلَبَ;فعل;"ساق;أتى";"ساقَ;أَتى"
187;اجتماع;اِجْتِماع;مصدر;"انضمام;تآلف";"اِنْضِمام;تَآلُف"
188;اجتمع;اِجْتَمَعَ;فعل;"انضم;تآلف";"اِنْضَمَ;تَآلَفَ"
189;اجتن;اِجْتَنَّ;فعل;"ستر;أخفى";"سَتَرَ;أَخْفى"
190;اجتنان;اِجْتِنان;مصدر;"استتار;إخفاء";"اِسْتِتار;إِخْفاء"
191;اجتنب;اِجْتَنَبَ;فعل;"ابتعد;";"اِبْتَعَدَ;"
192;اجتهاد;اِجْتِهاد;مصدر;"جدّ;مثابرة;";"جِدّ;مُثابَرَة;"
193;اجتهد;اِجْتَهَدَ;فعل;"جدّ;ثابر;";"جَدَّ;ثابَرَ;"
194;أجح;أَجَّحَ;فعل;"أضرم;ألهب;";"أَضْرَمَ;أَلْهَبَ;"
195;أجد;أَجَدَّ;فعل;"اجتهد";"اِجْتَهَدَ"
196;أجدب;أَجْدَبَ;فعل;"يبس;أمحل;أجرز";"يَبِسَ;أَمْحَلَ;أَجْرَزَ"
197;أجدل;أَجْدَلُ;اسم;"قويّ;مفتول;";"قَوِيّ;مَفْتول;"
198;إجذال;إِجْذال;مصدر;"فرح";"فَرَحْ"
199;أجذل;أَجْذَلَ;فعل;"أفرح";"أَفْرَحَ"
200;أجر;أَجْر;اسم;"ثّواب;مكافأة;";"ثَّواب;مُكافَأة;"
201;آجر;آجَرَ;فعل;"أثاب;كافأ;";"أَثابَ;كافَأ;"
202;أجر;أَجَرَ;فعل;"أثاب;كافأ;";"أَثابَ;كافَأَ;"
203;إجرام;إِجْرام;اسم;"جناية;إذناب;";"جِنايَة;إِذْناب;"
204;أجرز;أَجْرَزَ;فعل;"أجدب;أمحل;يبس";"أَجْدَبَ;أَمْحَلَ;يَبِسَ"
205;أجرم;أَجْرَمَ;فعل;"جنى;أذنب;";"جَنى;أَذْنَبَ;"
206;أجزل;أَجْزَلَ;فعل;"أكرم";"أَكْرَمَ"
207;أجش;أَجَشُّ;اسم;"غليظ";"غَليظ"
208;إجفاء;إِجْفاء;مصدر;"إبعاد";"إِبْعاد"
209;إجفال;إِجْفال;مصدر;"نفور;شرد;";"نُفور;شَرْد;"
210;أجفى;أَجْفى;فعل;"أبعد";"أَبْعَدَ"
211;أجفل;أَجْفَلَ;فعل;"نفر;شرد;";"نَفَرَ;شَرَدَ;"
212;إجفيل;إِجْفيل;اسم;"جبان";"جَبان"
213;آجل;آجِل;اسم;"مؤخّر";"مُؤخَّر"
214;أجل;أَجَل;فعل;"نعم";"نَعَم"
215;إجلاء;إِجْلاء;مصدر;"خروج";"خُروج"
216;إجلال;إِجْلال;مصدر;"توقير;تعظيم;احترام";"تَوقِير;تَعْظيم;اِحْتِرام"
217;أجلى;أَجْلى;فعل;"خرج";"خَرَجَ"
218;آجلة;آجِلَة;اسم;"متأخرة";"مُتَأخِرة"
219;أجم;أَجَّمَ;فعل;"نزل;ترجّل;";"نَزَلَ;تَرَجَّلَ;"
220;أجمع;أَجْمَعَ;فعل;"اتّفق";"اِتَّفَقَ"
221;أجمل;أَجْمَل;اسم;"أحلى";"أَحْلى"
222;آجن;آجِن;اسم;"متغيّر;فاسد;";"مُتَغَيِّر;فاسِد;"
223;أجن;أَجِنَ;فعل;"تغيّر;فسد;";"تَغَيَّرَ;فَسَدَ;"
224;أجنب;أَجْنَبَ;فعل;"أبعد;";"أَبْعَدَ;"
225;أجنبي;أَجْنَِبيّ;اسم;"غريب;";"غَريب;"
226;إجهاد;إِجْهاد;مصدر;"تعب;";"تَعَب;"
227;أجهد;أَجْهَدَ;فعل;"أتعب;";"أَتْعَبَ;"
228;أجهر;أَجْهَرَ;فعل;"أعلن;شهر";"أَعْلَنَ;شَهَرَ"
229;أحب;أَحَبَّ;فعل;"ودّ;هوى";"وَدَّ;هَوى"
230;إحباط;إِحْباط;مصدر;"إبطال;إفساد";"إِبْطال;إِفْساد"
231;أحبط;أَحْبَطَ;فعل;"أبطل;";"أَبْطَلَ;"
232;احتاج;اِحْتاجَ;فعل;"افتقر;";"اِفْتَقَرَ;"
233;احتجاء;اِحْتِجاء;مصدر;"كتمان;";"كِتْمان;"
234;احتجى;اِحْتَجَى;فعل;"كتم;";"كَتَمَ;"
235;احتج;اِحْتَجَّ;فعل;"عارض;استنكر";"عارَضَ;اِسْتَنْكَرَ"
236;احتد;اِحْتَدَّ;فعل;"غضب;";"غَضِبَ;"
237;احتداد;اِحْتِداد;مصدر;"غضب;اشتداد";"غَضَب;اِشْتِداد"
238;احتذار;اِحْتِذار;مصدر;"توقّي;احتراز";"تَوَقّي;اِحْتِراز"
239;احتذر;اِحْتَذَرَ;فعل;"حذر;توقى";"حَذِرَ;تَوَقَى"
240;احتراز;اِحْتِراز;مصدر;"توقّي;احتذر";"تَوَقِّي;اِحْتِذَر"
241;احتراس;اِحْتِراس;مصدر;"تحفظ;تّوقّي";"تَحَفُظ;تَّوَقّي"
242;احتراف;اِحْتِراف;مصدر;"امتهان;";"اِمْتِهان;"
243;احترام;اِحْتِرام;مصدر;"إجلال;";"إِجْلال;"
244;احترز;اِحْتَرَزَ;فعل;"توقّى;حذر";"تَوَقّى;حَذِرَ"
245;احترس;اِحْتَرَسَ;فعل;"توقّى;تحفّظ";"تَوَقّى;تَحَفَّظَ"
246;احترف;اِحْتَرَفَ;فعل;"امتهن;";"اِمْتَهَنَ;"
247;احترم;اِحْتَرَمَ;فعل;"أجلّ;";"أَجَلَّ;"
248;احتشاد;اِحْتِشاد;مصدر;"تجمهر;تجمّع";"تَجَمْهُر;تَجَمُّع"
249;احتشام;اِحْتِشام;مصدر;"أدب;حياء";"أَدَب;حَياء"
250;احتشد;اِحْتَشَدَ;فعل;"تجمهر;تجمّع";"تَجَمْهَرَ;تَجَمَّعَ"
251;احتشم;اِِحْتَشَم;فعل;"تأدّب;استحيا";"تأَدَّبَ;اِسْتَحيا"
252;احتفى;اِحْتَفى;فعل;"خلع نعليه;";"خَلَعَ نَعْلَيه;"
253;احتفى;اِحْتَفى;فعل;"أكرم;";"أَكْرَمَ;"
254;احتفاء;اِحْتِفاء;مصدر;"خلع النعلين;التكريم";"خَلْعُ النَعْلَين;التَكْريم"
255;احتفال;اِحْتِفال;مصدر;"اجتماع التكريم;";"اِجْتِماع التَكْريم;"
256;احتفل القوم;اِحْتَفَلَ القَومُ;فعل;"اجتمع القوم للتكريم";"اِجْتَمَع القوم للتَكْريم"
257;احتقار;اِحْتِقار;مصدر;"استصغار";"اِسْتِصْغار"
258;احتقان;اِحْتِقان;مصدر;"تجمع;احتباس";"تَجَمُع;اِحْتِباس"
259;احتقر;اِحْتَقَرَ;فعل;"استصغر";"اِسْتَصْغَرَ"
260;احتقن;اِحْتَقَنَ;فعل;"تجمّع;احتبس";"تَجَمَّعَ;اِحْتَبَسَ"
261;احتل;اِحْتَلَّ;فعل;"استولى";"اِسْتَولى"
262;احتلال;اِحْتِلال;مصدر;"نزول";"نُزول"
263;احتياج;اِحْتِياج;مصدر;"افتقار";"اِفْتِقار"
264;إحجام;إِحْجام;مصدر;"امتناع";"اِمْتِناع"
265;أحجم;أَحْجَمَ;فعل;"امتنع";"اِمْتَنَعَ"
266;أحدث;أَحْدَث;فعل;"أجدد";"أَجْدَد"
267;إحزان;إِحْزان;مصدر;"إتعاس;إغمام";"إِتْعاس;إِغْمام"
268;أحزن;أَحْزَنَ;فعل;"أتعس;أغمّ";"أَتْعَسَ;أَغَمَّ"
269;إحسان;إِحْسان;مصدر;"برّ;إجادة";"بِرّ;ِإِجادَة"
270;أحسن;أَحْسَنَ;فعل;"برّ;أجاد";"بَرَّ;أَجَادَ"
271;أحفى ;أَحْفى ;فعل;"حلق";"حَلَقَ"
272;أحقر;أَحْقَرَ;فعل;"استصغر";"اِسْتَصْغَرِ"
273;إحكام;إِحْكام;مصدر;"إتقان;إجادة";"إِتْقان;إِجادَة"
274;أحكم;أَحْكَمَ;فعل;"أتقن;أجاد";"أَتْقَنَ;أَجَادَ"
275;أحمى;أَحْمى;فعل;"أسخن";"أَسْخَن"
276;إحماء;إِحْماء;مصدر;"إسخان";"إِسْخان"
277;أحمس;أَحْمَسَ;فعل;"أشجع";"أَشْجَع"
278;أحمش;أَحْمَشَ;فعل;"أغضب;حرّض";"أَغْضَبَ;حَرَّضَ"
279;أحمق;أَحْمَق;فعل;"غبي;أخرق";"غَبِي;أَخْرَق"
280;أحن;أَحِنَ;فعل;"حقد";"حَقَدَ"
281;أحن;أَحَن;اسم;"حقد";"حِقْد"
282;إحناق;إِحْناق;مصدر;"حقد شديد;إغضاب";"حِقْدْ شَديد;إِغضاب"
283;آحن;آحَنَ;فعل;"خاصم;عادا";"خاصَمَ;عادا"
284;إحنة;إِحْنَة;اسم;"حقد";"حِقْدْ"
285;أحنق;أَحْنَقَ;فعل;"حقد;أغضب";"حَقَدَ;أَغْضَبَ"
286;أخوب;أَخْوَب;اسم;"آثم;مذنب;مجرم";"آثِم;مُذْنِب;مُجْرِم"
287;أحيا;أَحْيا;فعل;"أعاش";"أَعاشَ"
288;إحياء;إِحْياء;مصدر;"إعاشة";"إِعاشَة"
289;أحيح;أَحِيح;اسم;"غضب";"غَضَب"
290;آخى;آخى;فعل;"آلف";"آلَفَ"
291;إخاء;إِخَاء;اسم;"مؤالفة";"مُؤالَفَة"
292;أخاف;أَخاَفَ;فعل;"أفزع";"أَفْزَعَ"
293;أخبى;أَخْبى;فعل;"أطفأ;أخمد";"أَطْفَأَ;أَخْمَدَ"
294;إخباء;إِخْباء;مصدر;"إطفاء;إخماد";"إِطْفاء;إِخْماد"
295;أخبل;أَخْبَل;اسم;"مجنون";"مَجْنون"
296;اختال;اِخْتالَ;فعل;"تاه;تكبّر;تبختر";"تَاهَ;تَكَبَّرَ;تَبَخْتَرَ"
297;اختبأ;اِخْتَبَأَ;فعل;"استتر";"اِسْتَتَرَ"
298;اختباء;اِخْتِبَاء;مصدر;"استتار";"اِسْتِتار"
299;اختبال;اِخْتِبَال;مصدر;"جنون";"جُنون"
