ID;WORD;VOCALIZED;WORD_TYPE;PLURAL;PLURAL_VOCALIZED
68;إرب ;إرب ;اسم; آراب; آراب
69;أربة ;أربة ;اسم; أرب; أرب
70;مأرب ;مأرب ;اسم; مآرب; مآرب
71;مأربة ;مأربة ;اسم; مآرب; مآرب
72;إرث ;إرث ;اسم; إراث; إراث
73;أرثة ;أرثة ;اسم; أرث; أرث
74;أريجة ;أريجة ;اسم; أرائج; أرائج
75;إريس ;إريس ;اسم; أراريس; أراريس
76;أرش ;أرش ;اسم; أروش; أروش
77;إراض ;إراض ;اسم; أرض; أرض
78;أرض ;أرض ;اسم; أرضون; أرضون
79;أرضة ;أرضة ;اسم; أرض; أرض
80;أرفة ;أرفة ;اسم; أرف; أرف
81;أريكة ;أريكة ;اسم; أريك; أريك
82;إرم ;إرم ;اسم; آرام; آرام
83;إران ;إران ;اسم; أرن; أرن
84;أرنة ;أرنة ;اسم; أراني; أراني
85;أرنبة ;أرنبة ;اسم; أرانب; أرانب
86;آري ;آري ;اسم; أوار; أوار
87;آري ;آري ;اسم; أواري; أواري
88;أروية ;أروية ;اسم; أراوي; أراوي
89;مئزاب ;مئزاب ;اسم; مآزيب; مآزيب
90;أزج ;أزج ;اسم; آزج; آزج
91;إزار ;إزار ;اسم; أزر; أزر
92;مئزر ;مئزر ;اسم; مآزر; مآزر
93;مئزرة ;مئزرة ;اسم; مآزر; مآزر
94;مأزق ;مأزق ;اسم; مآزق; مآزق
95;مأزل ;مأزل ;اسم; مآزل; مآزل
96;آزم ;آزم ;اسم; أزم; أزم
97;آزمة ;آزمة ;اسم; أوازم; أوازم
98;مأزم ;مأزم ;اسم; مآزم; مآزم
99;أستاذ ;أستاذ ;اسم; أساتذة; أساتذة
100;أسد ;أسد ;اسم; آساد; آساد
101;مأسدة ;مأسدة ;اسم; مآسد; مآسد
102;إسار ;إسار ;اسم; أسر; أسر
103;أسرة ;أسرة ;اسم; أسر; أسر
104;أسير ;أسير ;اسم; أسراء; أسراء
105;أس ;أس ;اسم; إساس; إساس
106;خيل ;خيل ;اسم; إسطبلات; إسطبلات
107;أسيف ;أسيف ;اسم; أسفاء; أسفاء
108;أسينة ;أسينة ;اسم; آسن; آسن
109;آسي ;آسي ;اسم; أساة; أساة
110;آسية ;آسية ;اسم; أواس; أواس
111;مأساة ;مأساة ;اسم; مآس; مآس
112;مئشار ;مئشار ;اسم; مآشير; مآشير
113;إسكاف ;إسكاف ;اسم; أشاف; أشاف
114;أشنة ;أشنة ;اسم; أشن; أشن
115;أصدة ;أصدة ;اسم; أصد; أصد
116;إصدة ;إصدة ;اسم; إصد; إصد
117;أصيدة ;أصيدة ;اسم; أصد; أصد
118;آصرة ;آصرة ;اسم; أواصر; أواصر
119;إصار ;إصار ;اسم; أصر; أصر
120;أصير ;أصير ;اسم; أصر; أصر
121;مأصر ;مأصر ;اسم; مآصر; مآصر
122;أصيص ;أصيص ;اسم; أصائص; أصائص
123;أصيل ;أصيل ;اسم; أصل; أصل
124;إض ;إض ;اسم; إضاض; إضاض
125;أضاة ;أضاة ;اسم; أضوات; أضوات
126;آطرة ;آطرة ;اسم; أواطر; أواطر
127;إطار ;إطار ;اسم; أطر; أطر
128;أطرة ;أطرة ;اسم; أطر; أطر
129;مأطورة ;مأطورة ;اسم; مآطير; مآطير
130;أيطل ;أيطل ;اسم; أياطل; أياطل
131;أطم ;أطم ;اسم; آطام; آطام
132;أطوم ;أطوم ;اسم; أطم; أطم
133;مئفر ;مئفر ;اسم; مآفر; مآفر
134;يأفوف ;يأفوف ;اسم; يآفيف; يآفيف
135;آفقة ;آفقة ;اسم; أوافق; أوافق
136;أفق ;أفق ;اسم; آفاق; آفاق
137;أفيق ;أفيق ;اسم; أفق; أفق
138;أفكة ;أفكة ;اسم; أفائك; أفائك
139;أفيل ;أفيل ;اسم; إفال; إفال
140;أقة ;أقة ;اسم; أقق; أقق
141;إكاد ;إكاد ;اسم; أكائد; أكائد
142;أكار ;أكار ;اسم; أكرة; أكرة
143;إكاف ;إكاف ;اسم; أكف; أكف
144;أكل ;أكل ;اسم; آكال; آكال
145;أكولة ;أكولة ;اسم; أكائل; أكائل
146;مئكال ;مئكال ;اسم; مآكيل; مآكيل
147;مأكل ;مأكل ;اسم; مآكل; مآكل
148;مأكلة ;مأكلة ;اسم; مآكل; مآكل
149;أكمة ;أكمة ;اسم; أكم; أكم
150;مأكم ;مأكم ;اسم; مآكم; مآكم
151;مأكمة ;مأكمة ;اسم; مآكم; مآكم
152;طائر ;طائر ;اسم; أكن; أكن
153;مئلب ;مئلب ;اسم; مآلب; مآلب
154;ألف ;ألف ;اسم; آلاف; آلاف
155;إلف ;إلف ;اسم; آلاف; آلاف
156;ألف ;ألف ;اسم; آلاف; آلاف
157;ألوف ;ألوف ;اسم; ألف; ألف
158;ألوف ;ألوف ;اسم; ألائف; ألائف
159;مألف ;مألف ;اسم; مآلف; مآلف
160;إلقة ;إلقة ;اسم; إلق; إلق
161;مئلق ;مئلق ;اسم; مآلق; مآلق
162;ألوكة ;ألوكة ;اسم; ألائك; ألائك
163;مألك ;مألك ;اسم; مآلك; مآلك
164;مألكة ;مألكة ;اسم; مآلك; مآلك
165;ملك ;ملك ;اسم; ملائك; ملائك
166;ألة ;ألة ;اسم; أل; أل
167;إلة ;إلة ;اسم; إلل; إلل
168;ألم ;ألم ;اسم; آلام; آلام
169;إله ;إله ;اسم; آلهة; آلهة
170;إلى ;إلى ;اسم; آلاء; آلاء
171;ألو ;ألو ;اسم; آلاء; آلاء
172;إلى ;إلى ;اسم; آلاء; آلاء
173;ألية ;ألية ;اسم; ألايا; ألايا
174;ألية ;ألية ;اسم; ألايا; ألايا
175;مئلاة ;مئلاة ;اسم; مآل; مآل
176;أمت ;أمت ;اسم; إمات; إمات
177;آمدة ;آمدة ;اسم; أوامد; أوامد
178;أمد ;أمد ;اسم; آماد; آماد
179;أمر ;أمر ;اسم; أمور; أمور
180;أمر ;أمر ;اسم; أوامر; أوامر
181;أمرة ;أمرة ;اسم; أمر; أمر
182;أمير ;أمير ;اسم; أمراء; أمراء
183;تأمور ;تأمور ;اسم; تآمير; تآمير
184;تأمورة ;تأمورة ;اسم; تآمير; تآمير
185;تؤمور ;تؤمور ;اسم; تآمير; تآمير
186;ذي ;ذي ;اسم; أموس; أموس
187;آمل ;آمل ;اسم; أملة; أملة
188;أمل ;أمل ;اسم; آمال; آمال
189;آمة ;آمة ;اسم; أوام; أوام
190;إمام ;إمام ;اسم; أئمة; أئمة
191;أم ;أم ;اسم; أمات; أمات
192;أمة ;أمة ;اسم; أمم; أمم
193;أمون ;أمون ;اسم; أمن; أمن
194;أمين ;أمين ;اسم; أمناء; أمناء
195;أمة ;أمة ;اسم; إماء; إماء
196;أنثى ;أنثى ;اسم; إناث; إناث
197;مئناث ;مئناث ;اسم; مآنيث; مآنيث
198;إنجيل ;إنجيل ;اسم; أناجيل; أناجيل
199;آنسة ;آنسة ;اسم; أوانس; أوانس
200;إنس ;إنس ;اسم; آناس; آناس
201;إنسان ;إنسان ;اسم; أناسي; أناسي
202;إنسي ;إنسي ;اسم; أناسي; أناسي
203;أنوس ;أنوس ;اسم; أنس; أنس
204;أنف ;أنف ;اسم; أنوف; أنوف
205;أنوف ;أنوف ;اسم; أنف; أنف
206;ذي ;ذي ;اسم; نماذج; نماذج
207;إناء ;إناء ;اسم; آنية; آنية
208;أناة ;أناة ;اسم; أنوات; أنوات
209;إهاب ;إهاب ;اسم; أهب; أهب
210;أهبة ;أهبة ;اسم; أهب; أهب
211;أهل ;أهل ;اسم; أهال; أهال
212;أوار ;أوار ;اسم; أور; أور
213;مأوزة ;مأوزة ;اسم; مآوز; مآوز
214;أوقة ;أوقة ;اسم; أوق; أوق
215;أوقية ;أوقية ;اسم; أواق; أواق
216;طرب ;طرب ;اسم; آل; آل
217;أوان ;أوان ;اسم; آونة; آونة
218;إوان ;إوان ;اسم; أون; أون
219;مأوى ;مأوى ;اسم; مآو; مآو
220;أيكة ;أيكة ;اسم; أيك; أيك
221;أيل ;أيل ;اسم; أيايل; أيايل
222;أيم ;أيم ;اسم; أيوم; أيوم
223;آية ;آية ;اسم; آي; آي
224;متحد ;متحد ;اسم; بأجات; بأجات
225;بأدلة ;بأدلة ;اسم; بآدل; بآدل
226;بؤرة ;بؤرة ;اسم; بؤر; بؤر
227;بئر ;بئر ;اسم; أبؤر; أبؤر
228;بأس ;بأس ;اسم; أبؤس; أبؤس
229;بتات ;بتات ;اسم; أبتة; أبتة
230;بت ;بت ;اسم; أبت; أبت
231;أبتر ;أبتر ;اسم; بتر; بتر
232;باتر ;باتر ;اسم; بواتر; بواتر
233;بتراء ;بتراء ;اسم; بتر; بتر
234;باتك ;باتك ;اسم; بواتك; بواتك
235;بتكة ;بتكة ;اسم; بتك; بتك
236;بتيل ;بتيل ;اسم; بتل; بتل
237;بتيلة ;بتيلة ;اسم; بتائل; بتائل
238;بثر ;بثر ;اسم; بثور; بثور
239;بثعة ;بثعة ;اسم; بثع; بثع
240;بثق ;بثق ;اسم; بثوق; بثوق
241;سهلة ;سهلة ;اسم; بثان; بثان
242;بثنة ;بثنة ;اسم; بثن; بثن
243;بجاد ;بجاد ;اسم; بجد; بجد
244;بجد ;بجد ;اسم; بجود; بجود
245;أبجر ;أبجر ;اسم; أباجر; أباجر
246;بجر ;بجر ;اسم; أباجر; أباجر
247;بجرة ;بجرة ;اسم; بجر; بجر
248;بحبوحة ;بحبوحة ;اسم; بحابيح; بحابيح
249;مجتمع ;مجتمع ;اسم; بحاتر; بحاتر
250;بحث ;بحث ;اسم; بحوث; بحوث
251;بحثة ;بحثة ;اسم; بحث; بحث
252;أبح ;أبح ;اسم; بح; بح
253;باحرة ;باحرة ;اسم; بواحر; بواحر
254;بحر ;بحر ;اسم; أبحر; أبحر
255;بحرة ;بحرة ;اسم; بحار; بحار
256;بحيرة ;بحيرة ;اسم; بحائر; بحائر
257;بحشل ;بحشل ;اسم; بحاشل; بحاشل
258;بخت ;بخت ;اسم; بخاتي; بخاتي
259;بخدج ;بخدج ;اسم; بخادج; بخادج
260;باخرة ;باخرة ;اسم; بواخر; بواخر
261;بخار ;بخار ;اسم; أبخرة; أبخرة
262;مبخرة ;مبخرة ;اسم; مباخر; مباخر
263;مبخرة ;مبخرة ;اسم; مباخر; مباخر
264;بخس ;بخس ;اسم; بخوس; بخوس
265;بخنق ;بخنق ;اسم; بخانق; بخانق
266;بدء ;بدء ;اسم; أبداء; أبداء
267;بدئ ;بدئ ;اسم; بدو; بدو
268;بديئة ;بديئة ;اسم; بدايا; بدايا
269;مبدأ ;مبدأ ;اسم; مبادئ; مبادئ
270;بد ;بد ;اسم; أبداد; أبداد
271;بدة ;بدة ;اسم; بدد; بدد
272;بدة ;بدة ;اسم; بدد; بدد
273;بادرة ;بادرة ;اسم; بوادر; بوادر
274;بدر ;بدر ;اسم; بدور; بدور
275;بدع ;بدع ;اسم; أبداع; أبداع
276;بدعة ;بدعة ;اسم; بدع; بدع
277;بدل ;بدل ;اسم; أبدال; أبدال
278;بدل ;بدل ;اسم; أبدال; أبدال
279;بديل ;بديل ;اسم; أبدال; أبدال
280;بدن ;بدن ;اسم; أبدان; أبدان
281;بدنة ;بدنة ;اسم; بدن; بدن
282;بادية ;بادية ;اسم; بواد; بواد
283;بداة ;بداة ;اسم; بدا; بدا
284;بذح ;بذح ;اسم; بذوح; بذوح
285;بذر ;بذر ;اسم; بذور; بذور
286;بذور ;بذور ;اسم; بذر; بذر
287;بذلة ;بذلة ;اسم; بذل; بذل
288;مبذل ;مبذل ;اسم; مباذل; مباذل
289;مبذلة ;مبذلة ;اسم; مباذل; مباذل
290;برأة ;برأة ;اسم; برأ; برأ
291;بريئة ;بريئة ;اسم; برايا; برايا
292;ماء ;ماء ;اسم; برابخ; برابخ
293;بربر ;بربر ;اسم; برابر; برابر
294;سبع ;سبع ;اسم; براثن; براثن
295;إبريج ;إبريج ;اسم; أباريج; أباريج
296;برج ;برج ;اسم; أبراج; أبراج
297;برجمة ;برجمة ;اسم; براجم; براجم
298;برد ;برد ;اسم; أبراد; أبراد
299;بردة ;بردة ;اسم; برد; برد
300;بريد ;بريد ;اسم; برد; برد
301;برذون ;برذون ;اسم; براذين; براذين
302;بر ;بر ;اسم; برور; برور
303;برية ;برية ;اسم; براري; براري
304;أبرص ;أبرص ;اسم; سوام; سوام
305;برصة ;برصة ;اسم; براص; براص
306;برض ;برض ;اسم; بروض; بروض
307;برطيل ;برطيل ;اسم; براطيل; براطيل
308;برطوم ;برطوم ;اسم; براطيم; براطيم
309;برعم ;برعم ;اسم; براعم; براعم
310;برعمة ;برعمة ;اسم; براعم; براعم
311;برعوم ;برعوم ;اسم; براعيم; براعيم
312;برعومة ;برعومة ;اسم; براعيم; براعيم
313;برغوث ;برغوث ;اسم; براغيث; براغيث
314;برغيل ;برغيل ;اسم; براغيل; براغيل
315;أبرق ;أبرق ;اسم; أبارق; أبارق
316;برق ;برق ;اسم; بروق; بروق
317;برق ;برق ;اسم; أبراق; أبراق
318;برقاء ;برقاء ;اسم; براق; براق
319;برقة ;برقة ;اسم; برق; برق
320;برقع ;برقع ;اسم; براقع; براقع
321;برقوع ;برقوع ;اسم; براقيع; براقيع
322;بركة ;بركة ;اسم; برك; برك
323;بركة ;بركة ;اسم; برك; برك
324;بريك ;بريك ;اسم; برك; برك
325;مبرك ;مبرك ;اسم; مبارك; مبارك
326;برم ;برم ;اسم; أبرام; أبرام
327;برمة ;برمة ;اسم; برم; برم
328;مبرم ;مبرم ;اسم; مبارم; مبارم
329;برنية ;برنية ;اسم; براني; براني
330;جامعة ;جامعة ;اسم; برامج; برامج
331;برنس ;برنس ;اسم; برانس; برانس
332;رأس ;رأس ;اسم; برانيط; برانيط
333;برهة ;برهة ;اسم; بره; بره
334;برة ;برة ;اسم; برات; برات
335;برية ;برية ;اسم; برايا; برايا
336;مباراة ;مباراة ;اسم; مباريات; مباريات
337;مبراة ;مبراة ;اسم; مبار; مبار
338;بزخ ;بزخ ;اسم; أبزاخ; أبزاخ
339;بازور ;بازور ;اسم; بوازير; بوازير
340;بزر ;بزر ;اسم; بزور; بزور
341;بزر ;بزر ;اسم; بزور; بزور
342;بزر ;بزر ;اسم; أبزار; أبزار
343;بيزار ;بيزار ;اسم; بيازرة; بيازرة
344;بيزارة ;بيزارة ;اسم; بيازر; بيازر
345;مبزغ ;مبزغ ;اسم; مبازغ; مبازغ
346;بازل ;بازل ;اسم; بوازل; بوازل
347;مبزال ;مبزال ;اسم; مبازل; مبازل
348;بازمة ;بازمة ;اسم; بوازم; بوازم
349;بزيم ;بزيم ;اسم; بزم; بزم
350;بزيمة ;بزيمة ;اسم; بزائم; بزائم
351;بازي ;بازي ;اسم; و; و
352;بسباسة ;بسباسة ;اسم; البسباس; البسباس
353;بسبس ;بسبس ;اسم; بسابس; بسابس
354;باسور ;باسور ;اسم; بواسير; بواسير
355;بسر ;بسر ;اسم; بسار; بسار
356;بسوس ;بسوس ;اسم; بسس; بسس
357;بساط ;بساط ;اسم; بسط; بسط
358;بسطاء ;بسطاء ;اسم; بسط; بسط
359;بسيط ;بسيط ;اسم; بسط; بسط
360;بسيطة ;بسيطة ;اسم; بسائط; بسائط
361;باسقة ;باسقة ;اسم; بواسق; بواسق
362;بسقة ;بسقة ;اسم; بساق; بساق
363;باسنة ;باسنة ;اسم; بواسن; بواسن
364;بشارة ;بشارة ;اسم; بشائر; بشائر
365;بشارة ;بشارة ;اسم; بشائر; بشائر
366;بشرة ;بشرة ;اسم; بشر; بشر
367;بشرى ;بشرى ;اسم; بشر; بشر
368;بشور ;بشور ;اسم; بشر; بشر
369;باشق ;باشق ;اسم; بواشق; بواشق
370;باشق ;باشق ;اسم; بواشق; بواشق
371;بشامة ;بشامة ;اسم; بشام; بشام
372;بصر ;بصر ;اسم; أبصار; أبصار
373;بصرة ;بصرة ;اسم; بصار; بصار
374;بصيرة ;بصيرة ;اسم; بصائر; بصائر
375;بصلة ;بصلة ;اسم; بصل; بصل
376;بضاعة ;بضاعة ;اسم; بضائع; بضائع
377;بضع ;بضع ;اسم; بضوع; بضوع
378;بضيعة ;بضيعة ;اسم; بضائع; بضائع
379;مبضع ;مبضع ;اسم; مباضع; مباضع
380;أبطح ;أبطح ;اسم; أباطح; أباطح
381;بطحاء ;بطحاء ;اسم; بطاح; بطاح
382;بطحة ;بطحة ;اسم; بطاح; بطاح
383;بطيحة ;بطيحة ;اسم; بطائح; بطائح
384;مبطخة ;مبطخة ;اسم; مباطخ; مباطخ
385;بطريق ;بطريق ;اسم; بطاريق; بطاريق
386;نصارى ;نصارى ;اسم; بطارك; بطارك
387;بطة ;بطة ;اسم; بط; بط
388;مبط ;مبط ;اسم; مباط; مباط
389;صغيرة ;صغيرة ;اسم; بطائق; بطائق
390;أبطولة ;أبطولة ;اسم; أباطيل; أباطيل
391;باطن ;باطن ;اسم; أبطنة; أبطنة
392;بطان ;بطان ;اسم; أبطنة; أبطنة
393;بطانة ;بطانة ;اسم; بطائن; بطائن
394;بطن ;بطن ;اسم; أبطن; أبطن
395;بعث ;بعث ;اسم; بعوث; بعوث
396;بعير ;بعير ;اسم; أباعر; أباعر
397;بعكوكة ;بعكوكة ;اسم; بعاكيك; بعاكيك
398;بعل ;بعل ;اسم; بعال; بعال
399;بغاث ;بغاث ;اسم; بغثان; بغثان
400;فرس ;فرس ;اسم; أبغال; أبغال
401;فرس ;فرس ;اسم; بغال; بغال
402;باغي ;باغي ;اسم; بغاة; بغاة
403;بقط ;بقط ;اسم; بقوط; بقوط
404;باقعة ;باقعة ;اسم; بواقع; بواقع
405;بقعة ;بقعة ;اسم; بقع; بقع
406;باقول ;باقول ;اسم; بواقيل; بواقيل
407;بقل ;بقل ;اسم; بقول; بقول
408;بكر ;بكر ;اسم; أبكر; أبكر
409;بلبال ;بلبال ;اسم; بلابل; بلابل
410;بلبل ;بلبل ;اسم; بلابل; بلابل
411;بلاس ;بلاس ;اسم; بلس; بلس
412;بالوعة ;بالوعة ;اسم; بواليع; بواليع
413;طعام ;طعام ;اسم; بلاعم; بلاعم
414;تبلغة ;تبلغة ;اسم; تبالغ; تبالغ
415;بلقع ;بلقع ;اسم; بلاقع; بلاقع
416;بلية ;بلية ;اسم; بلايا; بلايا
417;ابن ;ابن ;اسم; أبناء; أبناء
418;ابن ;ابن ;اسم; بنات; بنات
419;بانية ;بانية ;اسم; بوان; بوان
420;بناء ;بناء ;اسم; أبنية; أبنية
421;بنت ;بنت ;اسم; بنات; بنات
422;بنية ;بنية ;اسم; بنى; بنى
423;بنية ;بنية ;اسم; بنى; بنى
424;مبنى ;مبنى ;اسم; المباني; المباني
425;بهيتة ;بهيتة ;اسم; بهائت; بهائت
426;متبختر ;متبختر ;اسم; بياهس; بياهس
427;باهظ ;باهظ ;اسم; بواهظ; بواهظ
428;باهظة ;باهظة ;اسم; بواهظ; بواهظ
429;جامع ;جامع ;اسم; البهاليل; البهاليل
430;إبهام ;إبهام ;اسم; أباهيم; أباهيم
431;أبهم ;أبهم ;اسم; بهم; بهم
432;بهمة ;بهمة ;اسم; بهم; بهم
433;بهمة ;بهمة ;اسم; بهم; بهم
434;بهيم ;بهيم ;اسم; بهم; بهم
435;بهيمة ;بهيمة ;اسم; بهائم; بهائم
436;بهنس ;بهنس ;اسم; بهانس; بهانس
437;بهو ;بهو ;اسم; أبهاء; أبهاء
438;باءة ;باءة ;اسم; باء; باء
439;باب ;باب ;اسم; أبواب; أبواب
440;بائجة ;بائجة ;اسم; بوائج; بوائج
441;باج ;باج ;اسم; أبواج; أبواج
442;باحة ;باحة ;اسم; بوح; بوح
443;باز ;باز ;اسم; أبواز; أبواز
444;بوز ;بوز ;اسم; أبواز; أبواز
445;بوش ;بوش ;اسم; أبواش; أبواش
446;بوص ;بوص ;اسم; أبواص; أبواص
447;بوص ;بوص ;اسم; أبواص; أبواص
448;بائع ;بائع ;اسم; بوع; بوع
449;باع ;باع ;اسم; أبواع; أبواع
450;بوع ;بوع ;اسم; أبواع; أبواع
451;بوع ;بوع ;اسم; أبواع; أبواع
452;بائقة ;بائقة ;اسم; بوائق; بوائق
453;بوق ;بوق ;اسم; أبواق; أبواق
454;بوقة ;بوقة ;اسم; بوق; بوق
455;بائكة ;بائكة ;اسم; بوائك; بوائك
456;بول ;بول ;اسم; أبوال; أبوال
457;مبولة ;مبولة ;اسم; مباول; مباول
458;بوان ;بوان ;اسم; أبونة; أبونة
459;بيت ;بيت ;اسم; أبيات; أبيات
460;بيداء ;بيداء ;اسم; بيد; بيد
461;بيدر ;بيدر ;اسم; بيادر; بيادر
462;كبير ;كبير ;اسم; بيارق; بيارق
463;بيزر ;بيزر ;اسم; بيازر; بيازر
464;أبيض ;أبيض ;اسم; بيض; بيض
465;بيضاء ;بيضاء ;اسم; بيض; بيض
466;بيطار ;بيطار ;اسم; بياطير; بياطير
467;بيطر ;بيطر ;اسم; بياطرة; بياطرة
468;بيع ;بيع ;اسم; بيوع; بيوع
469;بيعة ;بيعة ;اسم; بيع; بيع
470;بيقر ;بيقر ;اسم; بياقر; بياقر
471;بين ;بين ;اسم; أبيناء; أبيناء
472;بين ;بين ;اسم; أنبياء; أنبياء
473;تأرة ;تأرة ;اسم; تئر; تئر
474;توءم ;توءم ;اسم; توائم; توائم
475;توءمة ;توءمة ;اسم; توائم; توائم
476;متئام ;متئام ;اسم; متائيم; متائيم
477;تابع ;تابع ;اسم; تبع; تبع
478;تابعة ;تابعة ;اسم; توابع; توابع
479;تبع ;تبع ;اسم; أتباع; أتباع
480;تبع ;تبع ;اسم; أتباع; أتباع
481;تبع ;تبع ;اسم; تبابع; تبابع
482;تبع ;تبع ;اسم; تبابعة; تبابعة
483;تبيع ;تبيع ;اسم; تباع; تباع
484;تابل ;تابل ;اسم; توابل; توابل
485;تبل ;تبل ;اسم; تبول; تبول
486;توبل ;توبل ;اسم; توابل; توابل
487;تبان ;تبان ;اسم; تبانة; تبانة
488;تبان ;تبان ;اسم; تبابين; تبابين
489;تبن ;تبن ;اسم; أتبان; أتبان
490;متبن ;متبن ;اسم; متابن; متابن
491;تاجر ;تاجر ;اسم; تجر; تجر
492;تاجرة ;تاجرة ;اسم; تواجر; تواجر
493;متجر ;متجر ;اسم; متاجر; متاجر
494;متجرة ;متجرة ;اسم; متاجر; متاجر
495;تحت ;تحت ;اسم; تحوت; تحوت
496;تحفة ;تحفة ;اسم; تحف; تحف
497;متحف ;متحف ;اسم; متاحف; متاحف
498;تخم ;تخم ;اسم; تخوم; تخوم
499;تراب ;تراب ;اسم; أتربة; أتربة
500;ترب ;ترب ;اسم; أتراب; أتراب
501;تربة ;تربة ;اسم; ترب; ترب
502;ترباس ;ترباس ;اسم; ترابيس; ترابيس
503;ترتور ;ترتور ;اسم; تراتير; تراتير
504;ترجمان ;ترجمان ;اسم; تراجم; تراجم
505;ترجمة ;ترجمة ;اسم; تراجم; تراجم
506;أترور ;أترور ;اسم; أتارير; أتارير
507;ترس ;ترس ;اسم; أتراس; أتراس
508;متراس ;متراس ;اسم; متاريس; متاريس
509;مترس ;مترس ;اسم; متارس; متارس
510;ترعة ;ترعة ;اسم; ترع; ترع
511;ترفة ;ترفة ;اسم; ترف; ترف
512;ترقوة ;ترقوة ;اسم; تراق; تراق
513;ترك ;ترك ;اسم; أتراك; أتراك
514;تركة ;تركة ;اسم; ترك; ترك
515;تريكة ;تريكة ;اسم; ترائك; ترائك
516;ترمسة ;ترمسة ;اسم; ترامس; ترامس
517;تسع ;تسع ;اسم; أتساع; أتساع
518;متفحة ;متفحة ;اسم; متافح; متافح
519;تف ;تف ;اسم; تففة; تففة
520;متفلة ;متفلة ;اسم; متافل; متافل
521;تكة ;تكة ;اسم; تكك; تكك
522;متك ;متك ;اسم; متاك; متاك
523;تولب ;تولب ;اسم; توالب; توالب
524;تلتلة ;تلتلة ;اسم; تلاتل; تلاتل
525;تلد ;تلد ;اسم; تلود; تلود
526;تلد ;تلد ;اسم; أتلاد; أتلاد
527;تلد ;تلد ;اسم; أتلاد; أتلاد
528;تليد ;تليد ;اسم; أتلاد; أتلاد
