ID;INVERSED;VOCALIZED;WORD_TYPE
143;ىخآت;تَآخَى;فعل
144;بدأ;أَدَبَ;فعل
145;بدأ;أَدُبَ;فعل
146;بدأ;أَدَّبَ;فعل
147;بدآ;آدَبَ;فعل
148;بدأت;تَأَدَّبَ;فعل
149;دأ;أَدَّ;فعل
150;ددأت;تَأَدَّدَ;فعل
151;ردأ;أَدِرَ;فعل
152;لدأ;أَدَلَ;فعل
153;مدأ;أَدَمَ;فعل
154;مدأ;أَدُمَ;فعل
155;مدأ;أَدِمَ;فعل
156;مدأ;أَدَّمَ;فعل
157;مدآ;آدَمَ;فعل
158;مدتئا;اِئْتَدَمَ;فعل
159;مدأتسا;اِسْتَأْدَمَ;فعل
160;ادأ;أَدا;فعل
161;ىدأ;أَدَى;فعل
162;ىدأ;أَدَّى;فعل
163;ىدآ;آدَى;فعل
164;ىدأت;تَأَدَّى;فعل
165;ىدآت;تَآدَى;فعل
166;ىدأتسا;اِسْتَأْدَى;فعل
167;نذأ;أَذَنَ;فعل
168;نذأ;أَذِنَ;فعل
169;نذأ;أَذَّنَ;فعل
170;نذآ;آذَنَ;فعل
171;نذأت;تَأَذَّنَ;فعل
172;نذأتسا;اِسْتَأْذَنَ;فعل
173;يذأ;أَذِيَ;فعل
174;ىذآ;آذَى;فعل
175;ىذأت;تَأَذَّى;فعل
176;برأ;أَرَبَ;فعل
177;برأ;أَرُبَ;فعل
178;برأ;أَرِبَ;فعل
179;برأ;أَرَّبَ;فعل
180;برآ;آرَبَ;فعل
181;برآ;آرَبَ;فعل
182;برأت;تَأَرَّبَ;فعل
183;برأتسا;اِسْتَأْرَبَ;فعل
184;ثرأ;أَرَّثَ;فعل
185;ثرأت;تَأَرَّثَ;فعل
186;جرأ;أَرَجَ;فعل
187;جرأ;أَرِجَ;فعل
188;جرأ;أَرَّجَ;فعل
189;جرأت;تَأَرَّجَ;فعل
190;خرأ;أَرَخَ;فعل
191;خرأ;أَرَخَ;فعل
192;خرأ;أَرَّخَ;فعل
193;رأ;أرَّ;فعل
194;رأ;أرَّ;فعل
195;زرأ;أَرَزَ;فعل
196;سرأ;أَرَسَ;فعل
197;سرأ;أَرَّسَ;فعل
198;سرآ;آرَسَ;فعل
199;شرأ;أَرَشَ;فعل
200;شرأ;أَرَّشَ;فعل
201;شرتئا;اِئْتَرَشَ;فعل
202;ضرأ;أَرَضَ;فعل
203;ضرأ;أَرُضَ;فعل
204;ضرأ;أَرِضَ;فعل
205;ضرأ;أَرَّضَ;فعل
206;ضرأت;تَأَرَّضَ;فعل
207;ضرأتسا;اِسْتَأْرَضَ;فعل
208;طرأ;أَرَطَ;فعل
209;طرأ;أَرِطَ;فعل
210;طرآ;آرَطَ;فعل
211;فرأ;أَرَّفَ;فعل
212;فرآ;آرَفَ;فعل
213;قرأ;أَرِقَ;فعل
214;قرأ;أَرَّقَ;فعل
215;قرآ;آرَقَ;فعل
216;قرأت;تَأَرَّقَ;فعل
217;قرتئا;اِئْتَرَقَ;فعل
218;كرأ;أَرَكَ;فعل
219;كرأ;أَرِكَ;فعل
220;مرأ;أَرَمَ;فعل
221;مرأ;أَرِمَ;فعل
222;نرأ;أَرَنَ;فعل
223;نرأ;أَرِنَ;فعل
224;نرآ;آرَنَ;فعل
225;ارأ;أرا;فعل
226;ىرأ;أَرَى;فعل
227;يرأ;أَرِيَ;فعل
228;ىرأ;أَرَّى;فعل
229;ىرآ;آرَى;فعل
230;ىرأت;تَأَرَّى;فعل
231;ىرتئا;اِئْتَرَى;فعل
232;بزأ;أَزَبَ;فعل
233;بزأ;أَزِبَ;فعل
234;بزأت;تَأَزَّبَ;فعل
235;جزأ;أَزَجَ;فعل
236;جزأ;أَزِجَ;فعل
237;جزأ;أَزَّجَ;فعل
238;حزأ;أَزَحَ;فعل
239;حزأت;تَأَزَّحَ;فعل
240;رزأ;أَزَرَ;فعل
241;رزأ;أَزِرَ;فعل
242;رزأ;أَزَّرَ;فعل
243;رزآ;آزَرَ;فعل
244;رزأت;تَأَزَّرَ;فعل
245;رزتئا;اِئْتَزَرَ;فعل
246;رزتا;اِتَّزَرَ;فعل
247;زأ;أَزَّ;فعل
248;زأ;أَزَّ;فعل
249;ززأت;تَأَزَّزَ;فعل
250;زتئا;اِئْتَزَّ;فعل
251;فزأ;أَزِفَ;فعل
252;فزآ;آزَفَ;فعل
253;فزآت;تَآزَفَ;فعل
254;قزأ;أَزَقَ;فعل
255;قزأت;تَأَزَّقَ;فعل
256;لزأ;أَزَلَ;فعل
257;لزآ;آزَلَ;فعل
258;لزأت;تَأَزَّلَ;فعل
259;مزأ;أَزَمَ;فعل
260;مزأ;أَزِمَ;فعل
261;مزأت;تَأَزَّمَ;فعل
262;ازأ;أَزا;فعل
263;ىزأ;أَزَى;فعل
264;يزأ;أَزِيَ;فعل
265;ىزأ;أَزَّى;فعل
266;ىزآ;آزَى;فعل
267;ىزآ;آزَى;فعل
268;ىزأت;تَأَزَّى;فعل
269;ىزآت;تَآزَى;فعل
270;دسأ;أَسِدَ;فعل
271;دسأ;أَسَّدَ;فعل
272;دسآ;آسَدَ;فعل
273;دسآ;آسَدَ;فعل
274;دسأت;تَأَسَّدَ;فعل
275;دسأتسا;اِسْتَأْسَدَ;فعل
276;رسأ;أَسَرَ;فعل
277;رسأ;أَسِرَ;فعل
278;رسأتسا;اِسْتَأْسَرَ;فعل
279;سأ;أَسَّ;فعل
280;سسأ;أَسَّسَ;فعل
281;فسأ;أَسِفَ;فعل
282;فسآ;آسَفَ;فعل
283;فسأت;تَأَسَّفَ;فعل
284;لسأ;أَسُلَ;فعل
285;لسأ;أَسَّلَ;فعل
286;لسأت;تَأَسَّلَ;فعل
287;نسأ;أَسَنَ;فعل
288;نسأ;أَسِنَ;فعل
289;نسآ;آسَنَ;فعل
290;نسأت;تَأَسَّنَ;فعل
291;اسأ;أَسا;فعل
292;ىسأ;أَسَى;فعل
293;يسأ;أَسِيَ;فعل
294;ىسأ;أَسَّى;فعل
295;ىسآ;آسَى;فعل
296;ىسآ;آسَى;فعل
297;ىسأت;تَأَسَّى;فعل
298;ىسآت;تَآسَى;فعل
299;ىستئا;اِئْتَسَى;فعل
300;بشأ;أَشَبَ;فعل
301;بشأ;أَشِبَ;فعل
302;بشأ;أَشَّبَ;فعل
303;بشأت;تَأَشَّبَ;فعل
304;بشتئا;اِئْتَشَبَ;فعل
305;رشأ;أَشَرَ;فعل
306;رشأ;أَشِرَ;فعل
307;رشأ;أَشَّرَ;فعل
308;شأ;أَشَّ;فعل
309;نشأت;تَأَشَّنَ;فعل
310;دصأ;أَصَدَ;فعل
311;دصأ;أَصَّدَ;فعل
312;دصآ;آصَدَ;فعل
313;رصأ;أَصَرَ;فعل
314;رصتئا;اِئْتَصَرَ;فعل
315;صأ;أَصَّ;فعل
316;صصأ;أَصَّصَ;فعل
317;صتئا;اِئْتَصَّ;فعل
318;لصأ;أَصَلَ;فعل
319;لصأ;أَصُلَ;فعل
320;لصأ;أَصِلَ;فعل
321;لصأ;أَصَّلَ;فعل
322;لصآ;آصَلَ;فعل
323;لصأت;تَأَصَّلَ;فعل
324;لصأتسا;اِسْتَأْصَلَ;فعل
325;ضأ;أَضَّ;فعل
326;ضآ;آضَّ;فعل
327;ضتئا;اِئْتَضَّ;فعل
328;مضأ;أَضِمَ;فعل
329;رطأ;أَطَرَ;فعل
330;رطأ;أَطَّرَ;فعل
331;رطأت;تَأَطَّرَ;فعل
332;رطأنا;اِنْأَطَرَ;فعل
333;طأ;أَطَّ;فعل
334;مطأ;أَطَمَ;فعل
335;مطأ;أَطِمَ;فعل
336;مطأ;أَطَّمَ;فعل
337;مطآ;آطَمَ;فعل
338;مطأتل;لتَأَطَّمَ;فعل
339;خفأ;أَفَخَ;فعل
340;دفأ;أَفِدَ;فعل
341;دفأتسا;اِسْتَأْفَدَ;فعل
342;رفأ;أَفَرَ;فعل
343;رفأ;أَفِرَ;فعل
344;رفأتسا;اِسْتَأْفَرَ;فعل
345;فأ;أَفَّ;فعل
346;ففأ;أَفَّفَ;فعل
347;ففأت;تَأَفَّفَ;فعل
348;قفأ;أَفَقَ;فعل
349;قفأ;أَفِقَ;فعل
350;قفأت;تَأَفَّقَ;فعل
351;كفأ;أَفَكَ;فعل
352;كفأ;أَفِكَ;فعل
353;كفأ;أَفَّكَ;فعل
354;كفآ;آفَكَ;فعل
355;كفأت;تَأَفَّكَ;فعل
356;كفتئا;اِئْتَفَكَ;فعل
357;لفأ;أَفَلَ;فعل
358;لفأ;أَفِلَ;فعل
359;نفأ;أَفَنَ;فعل
360;نفأ;أَفِنَ;فعل
361;نفأت;تَأَفَّنَ;فعل
362;دكأ;أَكَدَ;فعل
363;دكأ;أَكَّدَ;فعل
364;دكآ;آكَدَ;فعل
365;دكأت;تَأَكَّدَ;فعل
366;ركأ;أَكَر;فعل
367;ركآ;آكَرَ;فعل
368;فكأ;أَكَّفَ;فعل
369;كأ;أَكَّ;فعل
370;كتئا;اِئْتَكَّ;فعل
371;لكأ;أَكَلَ;فعل
372;لكأ;أَكِلَ;فعل
373;لكأ;أَكَّلَ;فعل
374;لكآ;آكَلَ;فعل
375;لكآ;آكَلَ;فعل
376;لكأت;تَأَكَّلَ;فعل
377;لكتئا;اِئْتَكَلَ;فعل
378;لكأتسا;اِسْتَأْكَلَ;فعل
379;مكأتسا;اِسْتَأْكَمَ;فعل
380;بلأ;أَلَبَ;فعل
381;بلأ;أَلِبَ;فعل
382;بلأ;أَلَّبَ;فعل
383;بلأت;تَأَلَّبَ;فعل
384;تلأ;أَلَتَ;فعل
385;تلآ;آلَتَ;فعل
386;سلأ;أَلَسَ;فعل
387;سلآ;آلَسَ;فعل
388;سلأت;تَأَلَّسَ;فعل
389;فلأ;أَلَفَ;فعل
390;فلأ;أَلِفَ;فعل
391;فلأ;أَلَّفَ;فعل
392;فلآ;آلَفَ;فعل
393;فلآ;آلَفَ;فعل
394;فلأت;تَأَلَّفَ;فعل
395;فلتئا;اِئْتَلَفَ;فعل
396;قلأ;أَلَقَ;فعل
397;قلأت;تَأَلَّقَ;فعل
398;قلتئا;اِئْتَلَقَ;فعل
399;كلأ;أَلَكَ;فعل
400;كلأتسا;اِسْتَأْلَكَ;فعل
401;لأ;أَلَّ;فعل
402;لأ;أَلَّ;فعل
403;للأ;أَلِلَ;فعل
404;للأ;أَلَّلَ;فعل
405;للأت;تَأَلَّلَ;فعل
406;لتئا;اِئْتَلَّ;فعل
407;ملأ;أَلِمَ;فعل
408;ملآ;آلَمَ;فعل
409;ملأت;تَأَلَّمَ;فعل
410;هلأ;ألَهَ;فعل
411;هلأ;أَلِهَ;فعل
412;هلأ;أَلَّهَ;فعل
413;هلأت;تَأَلَّهَ;فعل
414;الأ;أَلا;فعل
415;يلأ;أَلِيَ;فعل
416;ىلأ;أَلَّى;فعل
417;ىلآ;آلَى;فعل
418;ىلأت;تَأَلَّى;فعل
419;ىلتئا;اِئْتَلَى;فعل
420;تمأ;أَمَتَ;فعل
421;تمأ;أَمَّتَ;فعل
422;جمأ;أَمَجَ;فعل
423;جمأ;أَمِجَ;فعل
424;حمأ;أَمَحَ;فعل
425;دمأ;أَمِدَ;فعل
426;دمأ;أَمَّدَ;فعل
427;دمأت;تَأَمَّدَ;فعل
428;رمأ;أَمَرَ;فعل
429;رمأ;أَمُرَ;فعل
430;رمأ;أَمِرَ;فعل
431;رمأ;أَمَّرَ;فعل
432;رمآ;آمَرَ;فعل
433;رمأت;تَأَمَّرَ;فعل
434;رمآت;تَآمَرَ;فعل
435;رمتئا;اِئْتَمَرَ;فعل
436;رمأتسا;اِسْتَأْمَرَ;فعل
437;ضمأ;أَمِضَ;فعل
438;عمأت;تَأَمَّعَ;فعل
439;لمأ;أَمَلَ;فعل
440;لمأ;أَمَّلَ;فعل
441;لمأت;تَأَمَّلَ;فعل
442;مأ;أَمَّ;فعل
443;مأ;أَمَّ;فعل
444;ممأ;أَمَّمَ;فعل
445;ممأت;تَأَمَّمَ;فعل
446;متئا;اِئْتَمَّ;فعل
447;مأتسا;اِسْتَأَمَّ;فعل
448;نمأ;أَمُنَ;فعل
449;نمأ;أَمِنَ;فعل
450;نمأ;أَمَّنَ;فعل
451;نمآ;آمَنَ;فعل
452;نمتئا;اِئْتَمَنَ;فعل
453;نمأتسا;اِسْتَأْمَنَ;فعل
454;همأ;أَمَهَ;فعل
455;همأ;أَمِهَ;فعل
456;همأت;تَأَمَّهَ;فعل
457;امأ;أَما;فعل
458;ومأ;أَمُوَ;فعل
459;يمأ;أَمِيَ;فعل
460;ىمأ;أَمَّى;فعل
461;ىمأت;تَأَمَّى;فعل
462;ىمأتسا;اِسْتَأْمَى;فعل
463;بنأ;أَنَّبَ;فعل
464;تنأ;أَنَتَ;فعل
465;ثنأ;أَنُثَ;فعل
466;ثنأ;أَنَّثَ;فعل
467;ثنآ;آنَثَ;فعل
468;ثنأت;تَأَنَّثَ;فعل
469;حنأ;أَنَحَ;فعل
470;سنأ;أَنَسَ;فعل
471;سنأ;أَنُسَ;فعل
472;سنأ;أَنِسَ;فعل
473;سنأ;أَنَّسَ;فعل
474;سنآ;آنَسَ;فعل
475;سنآ;آنَسَ;فعل
476;سنأت;تَأَنَّسَ;فعل
477;سنآت;تَآنَسَ;فعل
478;سنأتسا;اِسْتَأْنَسَ;فعل
479;ضنأ;أَنَضَ;فعل
480;ضنأ;أَنُضَ;فعل
481;ضنآ;آنَضَ;فعل
482;فنأ;أَنَفَ;فعل
483;فنأ;أَنِفَ;فعل
484;فنأ;أَنَّفَ;فعل
485;فنآ;آنَفَ;فعل
486;فنأت;تَأَنَّفَ;فعل
487;فنتئا;اِئْتَنَفَ;فعل
488;فنأتسا;اِسْتَأْنَفَ;فعل
489;قنأ;أَنِقَ;فعل
490;قنأ;أَنَّقَ;فعل
491;قنآ;آنَقَ;فعل
492;قنأت;تَأَنَّقَ;فعل
493;نأ;أَنَّ;فعل
494;ننأ;أَنَّنَ;فعل
495;ننأت;تَأَنَّنَ;فعل
496;ىنأ;أَنَى;فعل
497;ينأ;أَنِيَ;فعل
498;ىنأ;أَنَّى;فعل
499;ىنآ;آنَى;فعل
500;ىنأت;تَأَنَّى;فعل
501;ىنأتسا;اِسْتَأْنَى;فعل
502;بهأ;أَهَّبَ;فعل
503;بهأت;تَأَهَّبَ;فعل
504;لهأ;أَهَلَ;فعل
505;لهأ;أَهِلَ;فعل
506;لهأ;أَهَّلَ;فعل
507;لهآ;آهَلَ;فعل
508;لهأت;تَأَهَّلَ;فعل
509;لهتئا;اِئْتَهَلَ;فعل
510;لهأتسا;اِسْتَأْهَلَ;فعل
511;هأ;أَهَّ;فعل
512;ىهأ;أَهَى;فعل
513;بآ;آبَ;فعل
514;بوأ;أَوَّبَ;فعل
515;بوآ;آوَبَ;فعل
516;بوأت;تَأَوَّبَ;فعل
517;بوآت;تَآوَبَ;فعل
518;دآ;آدَ;فعل
519;دوأ;أَوِدَ;فعل
520;دوأ;أَوَّدَ;فعل
521;دوأت;تَأَوَّدَ;فعل
522;روأتسا;اِسْتَأْوَرَ;فعل
523;سآ;آسَ;فعل
524;سآتسا;اِسْتَآسَ;فعل
525;فآ;آفَ;فعل
526;قآ;آقَ;فعل
527;قوأ;أَوَّقَ;فعل
528;قوأت;تَأَوَّقَ;فعل
529;لآ;آلَ;فعل
530;لوأ;أَوِلَ;فعل
531;لوأ;أَوَّلَ;فعل
532;لوأت;تَأَوَّلَ;فعل
533;لاتئا;اِئْتالَ;فعل
534;مآ;آمَ;فعل
535;موأ;أَوَّمَ;فعل
536;نآ;آنَ;فعل
537;نوأ;أَوَّنَ;فعل
538;نوأت;تَأَوَّنَ;فعل
539;هآ;آهَ;فعل
540;هوأ;أَوَّهَ;فعل
541;هوأت;تَأَوَّهَ;فعل
542;ىوأ;أَوَى;فعل
543;ىوأ;أَوَّى;فعل
544;ىوآ;آوَى;فعل
545;ىوأت;تَأَوَّى;فعل
546;ىوآت;تَآوَى;فعل
547;ىوتئا;اِئْتَوَى;فعل
548;ىوأتسا;اِسْتَأْوَى;فعل
549;بآ;آبَ;فعل
550;دآ;آدَ;فعل
551;ديأ;أَيَّدَ;فعل
552;ديآ;آيَدَ;فعل
553;ديآ;آيَدَ;فعل
554;ديأت;تَأَيَّدَ;فعل
555;سآ;آسَ;فعل
556;سيأ;أَيِسَ;فعل
557;سيأ;أَيَّسَ;فعل
558;سيآ;آيَسَ;فعل
559;سيأت;تَأَيَّسَ;فعل
560;ضآ;آضَ;فعل
561;كيأ;أَيِكَ;فعل
562;كيأتسا;اِسْتَأْيَكَ;فعل
563;مآ;آمَ;فعل
564;ميأ;أَيَّمَ;فعل
565;ميأت;تَأَيَّمَ;فعل
566;ماتئا;اِئْتامَ;فعل
567;نآ;آنَ;فعل
568;هيأ;أَيَّهَ;فعل
569;ايأ;أَيَّا;فعل
570;ايأت;تَأَيَّا;فعل
571;رأب;بَأَرَ;فعل
572;رأبأ;أَبْأَرَ;فعل
573;رأتبا;اِبْتَأَرَ;فعل
574;سؤب;بَؤُسَ;فعل
575;سئب;بَئِسَ;فعل
576;سأبأ;أَبْأَسَ;فعل
577;سأبت;تَبَأَّسَ;فعل
578;سءابت;تَباءَسَ;فعل
579;سأتبا;اِبْتَأَسَ;فعل
580;شأب;بَأَشَ;فعل
581;لؤب;بَؤُلَ;فعل
582;ىأب;بَأَى;فعل
583;أتب;بَتَأَ;فعل
584;تب;بَتَّ;فعل
585;تب;بَتَّ;فعل
586;تتب;بَتَّتَ;فعل
587;تبأ;أَبَتَّ;فعل
588;تتبت;تَبَتَّتَ;فعل
589;تبنا;اِنْبَتَّ;فعل
590;رتب;بَتَرَ;فعل
591;رتب;بَتِرَ;فعل
592;رتبأ;أَبْتَرَ;فعل
593;رتبت;تَبَتَّرَ;فعل
594;رتبنا;اِنْبَتَرَ;فعل
595;عتب;بَتَعَ;فعل
596;عتب;بَتَعَ;فعل
597;عتب;بَتِعَ;فعل
598;كتب;بَتَكَ;فعل
599;كتب;بَتَّكَ;فعل
600;كتبت;تَبَتَّكَ;فعل
601;كتبنا;اِنْبَتَكَ;فعل
602;لتب;بَتَلَ;فعل
603;لتب;بَتِلَ;فعل
604;لتب;بَتَّلَ;فعل
605;لتبت;تَبَتَّلَ;فعل
606;لتبنا;اِنْبَتَلَ;فعل
607;ثب;بَثَّ;فعل
608;ثاب;باثَّ;فعل
609;ثبأ;أَبَثَّ;فعل
610;ثبنا;اِنْبَثَّ;فعل
611;ثبتسا;اِسْتَبَثَّ;فعل
612;رثب;بَثِرَ;فعل
613;رثبت;تَبَثَّرَ;فعل
614;عثب;بَثِعَ;فعل
615;عثب;بَثَّعَ;فعل
616;عثبت;تَبَثَّعَ;فعل
617;قثب;بَثَقَ;فعل
618;قثب;بَثَّقَ;فعل
619;قثبنا;اِنْبَثَقَ;فعل
620;جب;بَجَّ;فعل
621;جاب;باجَّ;فعل
622;جابت;تَباجَّ;فعل
623;حجب;بَجَحَ;فعل
624;حجب;بَجِحَ;فعل
625;حجب;بَجَّحَ;فعل
626;حجبأ;أَبْجَحَ;فعل
627;حجبت;تَبَجَّحَ;فعل
628;حجابت;تَباجَحَ;فعل
629;حجتبا;اِبْتَجَحَ;فعل
630;دجب;بَجَدَ;فعل
631;رجب;بَجِرَ;فعل
632;رجبأ;أَبْجَرَ;فعل
633;رجبت;تَبَجَّرَ;فعل
634;سجب;بَجَسَ;فعل
635;سجب;بَجَّسَ;فعل
636;سجبت;تَبَجَّسَ;فعل
637;سجبنا;اِنْبَجَسَ;فعل
638;لجب;بَجَلَ;فعل
639;لجب;بَجُلَ;فعل
640;لجب;بَجَّلَ;فعل
641;لجبأ;أَبْجَلَ;فعل
642;مجب;بَجَمَ;فعل
643;مجب;بَجَّمَ;فعل
644;تحب;بَحُتَ;فعل
645;تحاب;باحَتَ;فعل
646;ثحب;بَحَثَ;فعل
647;ثحاب;باحَثَ;فعل
648;ثحبت;تَبَحَّثَ;فعل
649;ثحابت;تَباحَثَ;فعل
650;ثحتبا;اِبْتَحَثَ;فعل
651;ثحبتسا;اِسْتَبْحَثَ;فعل
652;حب;بَحَّ;فعل
653;حبأ;أَبَحَّ;فعل
654;رحب;بَحَرَ;فعل
655;رحب;بَحِرَ;فعل
656;رحبأ;أَبْحَرَ;فعل
657;رحبت;تَبَحَّرَ;فعل
658;رحبتسا;اِسْتَبْحَرَ;فعل
659;رخب;بَخَرَ;فعل
660;رخب;بَخِرَ;فعل
661;رخب;بَخَّرَ;فعل
662;رخبأ;أَبْخَرَ;فعل
663;رخبت;تَبَخَّرَ;فعل
664;سخب;بَخَسَ;فعل
665;سخب;بَخَّسَ;فعل
666;سخابت;تَباخَسَ;فعل
667;صخب;بَخَصَ;فعل
668;صخب;بَخِصَ;فعل
669;عخب;بَخَعَ;فعل
670;عخب;بَخِعَ;فعل
671;قخب;بَخَقَ;فعل
672;قخب;بَخِقَ;فعل
673;قخبأ;أَبْخَقَ;فعل
674;قخبنا;اِنْبَخَقَ;فعل
675;لخب;بَخُلَ;فعل
676;لخب;بَخِلَ;فعل
677;لخب;بَخَّلَ;فعل
678;لخبأ;أَبْخَلَ;فعل
679;لخبت;تَبَخَّلَ;فعل
680;لخبتسا;اِسْتَبْخَلَ;فعل
681;اخب;بَخا;فعل
682;ىخبأ;أَبْخَى;فعل
683;أدب;بَدَأَ;فعل
684;أدب;بَدَّأَ;فعل
685;أدبأ;أَبْدَأ;فعل
686;أدبت;تَبَدَّأَ;فعل
687;أدتبا;اِبْتَدَأَ;فعل
688;حدب;بَدَحَ;فعل
689;حدبت;تَبَدَّحَ;فعل
690;حدابت;تَبَادَحَ;فعل
691;دب;بَدَّ;فعل
692;دب;بَدَّ;فعل
693;ددب;بَدَّدَ;فعل
694;داب;بادَّ;فعل
695;دبأ;أَبَدَّ;فعل
696;ددبت;تَبَدَّدَ;فعل
697;دابت;تَبادَّ;فعل
698;دتبا;اِبْتَدَّ;فعل
