ID;WORD;VOCALIZED;WORD_TYPE;ANTO_SET;ANTO_SET_VOCALIZED
46;أبجر;أَبْجَر;اسم;"ضامر";"ضَامِر"
47;أبخس;أَبْخَس;اسم;"أنفس";"أنْفَس"
48;أبد;أَبَد;اسم;"زوال;فناء";"زَوَال;فَنَاء"
49;آبد;آبِد;اسم;"داجن";"دَاجِن"
50;أبد (المكان);أَبِدَ (المَكَانَ);فعل;"أنس ;عمر ;أهل";"أَنِسَ ;عَمِرَ ;أَهِلَ"
51;أبد;أَبَّدَ;فعل;"أفنا";"أَفْنَا"
52;أبدى ;أَبْدَى ;فعل;"أسرّ ;أخفى ;كتم";"أَسَرَّ ;أَخْفَى ;كَتَمَ"
53;إبداع;إِبْدَاع;اسم;"تقليد";"تَقْلِيد"
54;أبدع ;أَبْدَعَ ;فعل;"قلّد";"قَلَّدَ"
55;أبدي;أَبَدِيّ;اسم;"فاني;زّائل";"فَانِي;زَّائِل"
56;أبر;أَبَرَّ;فعل;"أخلف ;نكث ;كذب ;حنث";"أَخْلَفَ ;نَكَثَ ;كَذَبَ ;حَنِثَ"
57;أبرأ;أَبْرَأَ;فعل;"أسقم";"أَسْقَمَ"
58;إبراء;إِبْرَاء;اسم;"إسقام";"إِسْقَام"
59;إبراد;إِبْرَاد;اسم;"إحماء";"إِحْمَاء"
60;إبراك;إِبْرَاك;اسم;"إنهاض";"إِنْهَاض"
61;إبرام;إِبْرَام;اسم;"إلغاء;إبطال;تعليق";"إِلْغَاء;إِبْطَال;تَعَلِيق"
62;أبرد ;أَبْرَدَ ;فعل;"أحمى ;أدفأ";"أَحْمَى ;أَدْفَأَ"
63;أبرك (الجمل);أَبْرَكَ (الجَمَلَ);فعل;"أنهض";"أَنْهَضَ"
64;أبش (الشيء);أَبَّشَ (الشَيْءَ);فعل;"فرّق;بدّدّ";"فَرَّقَ;بَدَّدّ"
65;أبرم ;أَبْرَمَ ;فعل;"أبطل ;ألغى ;علّق";"أَبْطَلَ ;أَلْغَى ;عَلَّقَ"
66;أبزخ;أَبْزَخ;اسم;"أحدب";"أَحْدَب"
67;إبشار;إِبْشَار;اسم;"حزن";"حُزْن"
68;إبشام;إبْشَام;اسم;"جوع";"جُوع"
69;أبشر ;أَبْشَرَ ;فعل;"حزن";"حَزِنَ"
70;أبشع;أَبْشَع;اسم;"أجمل;أحسن";"أَجْمَل;أَحْسَن"
71;أبشم ;أَبْشَمَ ;فعل;"جاع";"جَاعَ"
72;إبصار;إِبْصَار;اسم;"عمى";"عَمَى"
73;أبصر ;أَبْصَرَ ;فعل;"عمي";"عَمِيَ"
74;أبطأ;أَبْطَأَ;فعل;"أسرع ;عجّل";"أَسْرَعَ ;عَجَّلَ"
75;إبطاء;إِبْطَاء;اسم;"سرعة;إسراع;عجلة";"سُرْعَة;إِسْرَاع;عَجَلَة"
76;إبطال;إِبْطَال;اسم;"إثبات;تأكيد";"إِثْبَات;تَأْكِيد"
77;إبطان;إِبْطَان;اسم;"إظهار;إبانة";"إِظْهَار;إِبَانَة"
78;أبطل (الأمر);أَبْطَلَ (الأَمْرَ);فعل;"أكّد;أثبت";"أَكَّدَ;أَثْبَتَ"
79;أبطن (الشيء);أَبْطَنَ (الشَيْءَ);فعل;"أظهر";"أَظْهَرَ"
80;إبعاد;إِبْعَاد;اسم;"تقريب";"تَقْرِيب"
81;أبعد ;أَبْعَدَ ;فعل;"قرّب";"قَرَّبَ"
82;أبعد;أَبْعَد;اسم;"أقرب";"أَقْرَب"
83;إبغاض;إِبْغَاض;اسم;"حبّ;ودّ";"حَبّ;وُدّ"
84;أبغض ;أَبْغَضَ ;فعل;"أحبّ ;ودّ";"أَحَبَّ ;وَدَّ"
85;أبقى ;أَبْقَى ;فعل;"أفنى ;بدّل";"أَفْنَى ;بَدَّلَ"
86;إبقاء;إِبْقَاء;اسم;"إفناء;تغيير;تبديل";"إِفْنَاء;تَغْيِير;تَبْدِيل"
87;أبقل (المكان);أَبْقَلَ (المَكَان);فعل;"أجدب ;محل";"أَجْدَبَ ;مَحَلَ"
88;أبكى ;أَبْكَى ;فعل;"أضحك";"أَضْحَكَ"
89;إبكاء;إِبْكَاء;اسم;"إضحاك";"إِضْحَاك"
90;إبكار;إِبْكَار;اسم;"عشيّ";"عَشِيّ"
91;أبكم;أَبْكَم;اسم;"ثرثار";"ثَرْثَار"
92;أبل ;أَبَلَّ ;فعل;"سقم ;مرض ;اعتلّ";"سَقِمَ ;مَرِضَ ;اِعْتَلَّ"
93;إبلاد;إِبْلاَد;اسم;"ارتحال;رحيل;ظعن";"اِرْتِحَال;رَحِيل;ظَعْن"
94;إبلاس;إِبْلاَس;اسم;"أمل";"أَمَل"
95;إبلال;إِبْلاَل;اسم;"مرض;سقم;اعلال";"مَرَض;سَقَم;اِعْلاَل"
96;إبلام;إِبْلاَم;اسم;"تكلّم";"تَكَلُّم"
97;أبلخ;أَبْلَخ;اسم;"ذكيّ;فطن";"ذَكِيّ;فَطِن"
98;أبلد (بالمكان) ;أبْلَدَ (بِالمَكَانِ) ;فعل;"ارتحل;ظعن";"اِرْتَحَلَ;ظَعَنَ"
99;أبلد;أَبْلَد;اسم;"ذكيّ";"ذَكِيّ"
100;أبلس (من رحمة الله);أبْلَسَ (مِنَ رَحْمَةِ اللهِ);فعل;"أمل";"أَمَلَ"
101;أبلغ (فلانا أمرا);أَبْلَغَ (فُلاَناً أَمْرًا);فعل;"كتم;أخفا";"كَتَمَ;أَخْفَا"
102;أبلم ;أَبْلَمَ ;فعل;"تكلّم";"تَكَلَّمَ"
103;أبله;أَبْلَهٌ;اسم;"ذكيّ;فطن";"ذَكِيّ;فَطِن"
104;أبن ;أَبَنَ ;فعل;"مدح ;أثنى";"مَدَحَ ;أَثْنَى"
105;أبن ;أَبَّنَ ;فعل;"قرّظ  ;عاب;عيّر";"قَرَّظَ  ;عَابَ;عَيَّرَ"
106;آبن;آبِن;اسم;"مادح";"مَادِح"
107;أبنة;أُبْنَة;اسم;"مدح;تقريظ";"مَدْح;تَقْرِيظ"
108;أبه;أَبِهَ;فعل;"سفل ;انحطّ ;خسّ";"سَفَلَ ;انْحَطَّ ;خَسَّ"
109;أبه ;أَبِهَ ;فعل;"ترك;أهمل";"تَرَكَ;أَهْمَلَ"
110;أبهة;أُبَّهَة;اسم;"بساطة;سفول";"بَسَاطَة;سُفُول"
111;أبهج ;أَبْهَجَ ;فعل;"أحزن";"أَحْزَنَ"
112;أبي;أَبِيّ;اسم;"خسيس;منحطّ;سافل";"خَسِيس;مُنْحَطّ;سَافِل"
113;أبيض;أَبْيَض;اسم;"أسود";"أَسْوَد"
114;ابيض ;اِبْيَضَّ ;فعل;"اسودّ";"اِسْوَدَّ"
115;ابيضاض;اِبْيِضَاض;اسم;"اسوداد";"اِسْوِدَاد"
116;أتى ;أَتَى ;فعل;"ذهب ;غادر";"ذَهَبَ ;غَادَرَ"
117;اتآد;اِتِّآد;اسم;"تسرّع";"تَسَرُّع"
118;اتأد;اتَّأَدَ;فعل;"تسرّع";"تَسَرَّعَ"
119;اتآس;اِتِّآس;اسم;"أمل";"أَمَل"
120;اتأس ;اِتَّأَسَ ;فعل;"أمل";"أَمَلَ"
121;أتأق (الإناء);أَتْأَقَ (الإِنَاءَ);فعل;"أفرغ";"أَفْرَغَ"
122;أتب;أَتَبَّ;فعل;"قوّى";"قَوَّى"
123;أتخم ;أُتْخِمَ ;فعل;"جاع";"جَاعَ"
124;أترس (الباب);أَتْرَسَ (البَابَ);فعل;"فتح";"فَتَحَ"
125;أترع (الكأس);أَتْرَعَ (الكَأْسَ);فعل;"أفرغ";"أَفْرَغَ"
126;اتساع;اِتِّسَاع;اسم;"ضيق";"ضِيق"
127;اتسع (المكان);اِتَّسَعَ (المَكَانُ);فعل;"ضاق";"ضَاقَ"
128;اتصال;اِتِّصَال;اسم;"انفصال";"اِنْفِصَال"
129;اتصل ;اِتَّصَلَ ;فعل;"انفصل";"اِنْفَصَلَ"
130;اتضاح;اِتِّضَاح;اسم;"غموض";"غُمُوض"
131;اتضح ;اِتَّضَحَ ;فعل;"خفي";"خَفِيَ"
132;اتضع ;اِتَّضَعَ ;فعل;"تكبّر";"تَكَبَّرَ"
133;إتعاس;إِتْعَاس;اسم;"إسعاد";"إِسْعَاد"
134;أتعب ;أَتْعَبَ ;فعل;"أراح";"أَرَاحَ"
135;أتعس ;أَتْعَسَ ;فعل;"أسعد";"أَسْعَدَ"
136;اتفاق;اِتِّفَاق;اسم;"اختلاف";"اِخْتِلاَف"
137;اتفق ;اِتَّفَقَ ;فعل;"اختلف";"اِخْتَلَفَ"
138;اتقاد;اِتِّقَاد;اسم;"انطفاء;إخماد";"اِنْطَفَاء;إِخْمَاد"
139;إتقان;إِتْقَان;اسم;"استهتار;استخفاف";"اِسْتِهْتَار;اِسْتِخْفَاف"
140;اتقد -ت(النار);اِتّقَدَ -ت(النَّارُ);فعل;"انطفأ -ت";"اِنْطَفَأَ -ت"
141;أتقن (العمل);أَتْقَنَ (العَمَلَ);فعل;"استهتر (به)";"اِسْتَهْتَرَ (بِهِ)"
142;اتكال;اِتِّكَال;اسم;"اعتماد";"اِعْتِمَاد"
143;اتكل ;اِتَّكَلَ ;فعل;"اعتمد";"اِعْتَمَدَ"
144;أتلى  ;أَتْلَى  ;فعل;"أخلف ;تخلّف";"أَخْلَفَ ;تَخَلَّفَ"
145;إتلاف;إِتْلاَف;اسم;"إصلاح";"إِصْلاَح"
146;أتلع(طويل العنق);أَتْلَع(طَوِيل العُنُق);اسم;"أوقص(قصير العنق)";"أَوْقَص(قَصِير العُنُق)"
147;أتلف ;أَتْلَفَ ;فعل;"أصلح";"أَصْلَحَ"
148;أتم (الوعد);أتَمَّ (الوَعْدَ);فعل;"أخلف (به);نكث";"أَخْلَفَ (بِهِ);نَكَثَ"
149;اتهام;اِتِّهَام;اسم;"تبرئة";"تَبْرِئَة"
150;اتهم;اِتَّهَمَ;فعل;"برّأ";"بَرَّأَ"
151;آتي;آتِيٌ;اسم;"ذاهب;مغادر";"ذَاهِب;مُغَادِر"
152;إتيان;إِتْيَان;اسم;"ذهاب;مغادرة";"ذَهَاب;مُغَادَرَة"
153;إثابة;إِثَابَة;اسم;"عقاب";"عِقَاب"
154;أثاب;أَثَابَ;فعل;"عاقب";"عَاقَبَ"
155;إثبات;إِثْبَات;اسم;"نفي";"نَفْي"
156;اثبأج (الإناء);اِثْبَأَجَّ (الإِنَاءُ);فعل;"صفر ;فرغ";"صَفِرَ ;فَرَغَ"
157;أثبت;أَثْبَتَ;فعل;"نفى";"نَفَى"
158;إثجام;إِثْجَام;اسم;"انحباس";"اِنْحِبَاس"
159;أثجم (المطر);أَثْجَمَ (المَطَرُ);فعل;"انحبس";"انْحَبَسَ"
160;إثخان;إِثْخَان;اسم;"تساهل";"تَسَاهُل"
161;أثخن (في العدو);أَثْخَنَ (فِي العَدُوِّ);فعل;"تساهل (معه)";"تَسَاهَلَ (مَعَهُ)"
162;أثرى (الرجل);أَثْرَى (الرَّجُلُ);فعل;"افتقر ;أملق";"اِفْتَقَرَ ;أَمْلَقَ"
163;إثراء;إِثْرَاء;اسم;"فقر";"فَقْر"
164;أثقب (النار);أَثْقَبَ (النَّارَ);فعل;"أطفأ";"أَطْفَأَ"
165;أثل (المال);أَثَّلَ (المَالَ);فعل;"قلّل;بدّد";"قَلَّلَ;بَدَّدَ"
166;أثلج (القلب);أَثْلَجَ (القَلْبَ);فعل;"أحزن";"أَحْزَنَ"
167;آثم;آثِم;اسم;"بارّ;بريء";"بَارّ;بَرِيء"
168;أثم ;أَثِمَ ;فعل;"برّ";"بَرَّ"
169;أثم;أَثَم;اسم;"براءة;عفاف";"بَرَاءَة;عَفَاف"
170;إثم;إِثْم;اسم;"برّ;براءة;عفاف;طهر;طهارة";"بِرّ;بَرَاءَة;عَفَاف;طُهْر;طَهَارَة"
171;أثم;أَثَّمَ;فعل;"برّر";"بَرَّرَ"
172;أثنى (عليه);أَثْنَى (عَلَيْهِ);فعل;"عاب;هجا";"عَابَ;هَجَا"
173;أثناء;أَثْنَاءَ;ظرف;"أطراف";"أَطْرَافَ"
174;أثوى (بالمكان);أَثْوَى (بِالمَكَانِ);فعل;"ارتحل (عنه)";"اِرْتَحَلَ (عَنْهُ)"
175;إثواء;إِثْوَاء;اسم;"ارتحال";"اِرْتِحَال"
176;أثيم;أَثِيم;اسم;"بريء";"بَرِيء"
177;أج (الشيء);أَجَّ (الشَيْءُ);فعل;"خبا";"خَبَا"
178;أج (الماء);أَجَّ (المَاءُ);فعل;"عذب";"عَذُبَ"
179;أجاب ;أَجَابَ ;فعل;"سأل";"سَأَلَ"
180;أجاج (من الماء);أُجَاج (مِنَ المَاءِ);اسم;"عذب";"عَذْب"
181;أجاج;أَجَّاج;اسم;"خامد";"خَامِد"
182;أجار;أَجَارَ;فعل;"اعتدى";"اِعْتَدَى"
183;إجارة;إِجَارَةٌ;اسم;"اعتداء;عقاب";"اِعْتِدَاء;عِقَاب"
184;إجازة;إِجَازَة;اسم;"منع";"مَنْع"
185;أجاز (له كذا);أَجَازَ (لَهُ كَذَا);فعل;"منع";"مَنَعَ"
186;أجاع ;أَجَاعَ ;فعل;"أشبع ;أتخم";"أَشْبَعَ ;أَتْخَمَ"
187;إجاعة;إِجَاعَة;اسم;"إشباع";"إِشْبَاع"
188;أج -ت (النيران);أَجَّ -ت (النِيرَانُ);فعل;"خمد -ت";"خَمَدَ -ت"
189;اجتذاب;اِجْتِذَاب;اسم;"دفع;صدّ";"دَفْع;صَدّ"
190;اجتذال;اِجْتِذَال;اسم;"حزن";"حُزْن"
191;اجتذب;اِجْتَذَبَ;فعل;"دفع;صدّ";"دَفَعَ;صَدَّ"
192;اجتذل ;اِجْتَذَلَ ;فعل;"حزن ";"حَزِنَ "
193;اجترام;اِجْتِرَام;اسم;"عفاف;طهارة";"عَفَاف;طَهَارَة"
194;اجترم ;اِجْتَرَمَ ;فعل;"عفّ ;طهر";"عَفَّ ;طَهُرَ"
195;اجتص (القوم);اِجْتَصَّ (القَوْمُ);فعل;"تفرّق";"تَفَرَّقَ"
196;اجتصاص;اِجْتِصَاص;اسم;"تفرقة";"تَفْرِقَة"
197;اجتعف (الشجرة);اِجْتَعَفَ (الشَجَرَةَ);فعل;"غرس";"غَرَسَ"
198;اجتفى;اِجْتَفَى;فعل;"ثبّت";"ثَبَّتَ"
199;اجتلاب;اِجْتِلاَب;اسم;"دفع;صدّ";"دَفْع;صَدّ"
200;اجتلب;اِجْتَلَبَ;فعل;"دفع";"دَفَعَ"
201;اجتماع;اِجْتِمَاع;اسم;"تفرّق;افتراق;فراق";"تَفَرُّق;اِفْتِرَاق;فُرَاق"
202;اجتماعي;اِجْتِمَاعِيّ;اسم;"انعزاليّ";"اِنْعِزَالِيّ"
203;اجتمع ;اِجْتَمَعَ ;فعل;"تبدّد ;تفرّق";"تَبَدَّدَ ;تَفَرَّقَ"
204;اجتن;اِجْتَنَّ;فعل;"تبدّد ;تفرّق";"تَبَدَّدَ ;تَفَرَّقَ"
205;اجتناب;اِجْتِنَاب;اسم;"تقرّب";"تَقَرُّب"
206;اجتنان;اِجْتِنَان;اسم;"إظهار";"إِظْهَار"
207;اجتنب;اِجْتَنَبَ;فعل;"تقرّب";"تَقَرَّبَ"
208;اجتهاد;اِجْتِهَاد;اسم;"كسل";"كَسَل"
209;اجتهد;اِجْتَهَدَ;فعل;"كسل;تكاسل";"كَسِلَ;تَكَاسَلَ"
210;أجج;أَجَّجَ;فعل;"أطفأ;أخمد";"أَطْفَأَ;أَخْمَدَ"
211;أجد;أَجَدَّ;فعل;"هزل";"هَزَلَ"
212;أجدب;أَجْدَبَ;فعل;"أخصب";"أَخْصَبَ"
213;أجدل (من السواعد);أَجْدَلٌ (مِنَ السَّوَاعِدِ);فعل;"ضعيف";"ضَعِيفٌ"
214;إجذال;إِجْذَال;اسم;"حزن";"حُزْن"
215;أجذل;أَجْذَلَ;فعل;"أحزن";"أَحْزَنَ"
216;أجر;أَجْر;اسم;"عقاب";"عِقَاب"
217;آجر ;آجَرَ ;فعل;"عاقب";"عَاقَبَ"
218;أجر;أَجَرَ;فعل;"عاقب";"عَاقَبَ"
219;إجرام;إِجْرَام;اسم;"عفة";"عِفَة"
220;أجرز;أَجْرَزَ;فعل;"أخصب";"أَخْصَبَ"
221;أجرم ;أَجْرَمَ ;فعل;"عف";"عَفَ"
222;اجزل (له العطاء) ;اَجْزَلَ (لَهُ العَطَاءَ) ;فعل;"بخل (عليه)";"بَخِلَ (عَلَيْهِ)"
223;أجش (من الأصوات);أَجَش (مِنَ الأَصْوَاتِ);اسم;"ناعم;رخيم";"نَاعِم;رَخِيم"
224;إجفاء;إِجْفَاء;اسم;"تقريب";"تَقْرِيب"
225;إجفال;إِجْفَال;اسم;"ألفة";"أُلْفَة"
226;أجفى;أَجْفَى;فعل;"قرّب";"قَرَّبَ"
227;أجفل ;أَجْفَلَ ;فعل;"آلف";"آلِفَ"
228;إجفيل;إِجْفِيل;اسم;"شجاع";"شُجَاع"
229;آجل;آجِل;اسم;"عاجل";"عَاجِل"
230;أجل ;أَجَل ;حرف;"لا ;كلا";"لاَ ;كَلاَ"
231;أجل;أَجَل;اسم;"بداية";"بِدَايَة"
232;أجل;أَجَلَّ;فعل;"حقّر";"حَقَّرَ"
233;أجل ;أَجَّلَ ;فعل;"عجّل";"عَجَّلَ"
234;إجلاء;إِجْلاَء;اسم;"استقرار";"اِسْتِقْرَار"
235;إجلاس;إِجْلاَس;اسم;"إيقاف;إنهاض";"إِيقَاف;إِنْهَاض"
236;إجلال;إِجْلاَل;اسم;"احتقار";"اِحْتِقَار"
237;أجلى (عن المكان) ;أَجْلَى (عَنِ المَكَانِ) ;فعل;"استقر (فيه)";"اِسْتَقَرَ (فِيهِ)"
238;آجلة;آجِلَة;اسم;"عاجلة";"عَاجِلَة"
239;أجلس ;أَجْلَسَ ;فعل;"أنهض ;أوقف";"أَنْهَضَ ;أَوْقَفَ"
240;أجم;أَجَمّ;اسم;"تارس";"تَارِس"
241;أجم (الفارس جواده);أَجَمَّ (الفَارِسُ جَوَادَهُ);فعل;"ركب";"رَكِبَ"
242;أجمع (القوم على رأي);أَجْمَعَ (القَوْمُ عَلَى رَأْيٍ);فعل;"تنافر;تخاصم";"تَنَافَرَ;تَخَاصَمَ"
243;أجمل;أَجْمَل;اسم;"أقبح;أبشع";"أَقْبَح;أَبْشَع"
244;آجن;آجِن;اسم;"طيب;لذيذ;زلال;عذب;قراح";"طَيِب;لَذِيذ;زُلاَل;عَذْب;قُرَاح"
245;أجن (الماء);أَجِنَ (المَاءُ);فعل;"طاب ;لذّ;عذب";"طَابَ ;لَذَّ;عَذُبَ"
246;أجنب;أَجْنَبَ;فعل;"قرّب";"قَرَّبَ"
247;أجنبي;أَجْنَبِيّ;اسم;"مواطن;وطنيّ";"مُوَاطِن;وَطَنِيّ"
248;إجهاد;إِجْهَاد;اسم;"راحة;سهولة";"رَاحَة;سُهُولَة"
249;أجهد;أَجْهَدَ;فعل;"أراح";"أَرَاحَ"
250;أجهر (الأمر);أَجْهَرَ (الأَمْرَ);فعل;"ستر;أخفى";"سَتَرَ;أَخْفَى"
251;أحب;أَحَبَّ;فعل;"أبغض ;كره ;مقت";"أَبْغَضَ ;كَرِهَ ;مَقَتَ"
252;إحباط;إِحْبَاط;اسم;"نجاح;إثبات";"نَجَاح;إِثْبَات"
253;أحبط (عمله);أَحْبَطَ (عَمَلَهُ);فعل;"أكّد;أثبت;أنجح";"أَكَّدَ;أَثْبَتَ;أَنْجَحَ"
254;احتضاج ;اِحْتَضَاجَ ;فعل;"اكتفى";"اِكْتَفَى"
255;احتجاء;اِحْتِجَاء;اسم;"إفشاء";"إِفْشَاء"
256;احتجى (السر);اِحْتَجَى (السِّرَّ);فعل;"أفشى";"أَفْشَى"
257;احتج (به);اِحْتَجَّ (بِهِ);فعل;"احتجّ (عليه)";"اِحْتَجَّ (عَلَيْهِ)"
258;احتد (عليه);اِحْتَدَّ (عَلَيْهِ);فعل;"رضي (عنه)";"رَضِيَ (عَنْهُ)"
259;احتداد;اِحْتِدَاد;اسم;"رضى";"رِضَى"
260;احتذار;اِحْتِذَار;اسم;"اطمئنان";"اِطْمِئْنَان"
261;احتذر;اِحْتَذَرَ;فعل;"اطمأنّ";"اِطْمَأَنَّ"
262;احتراز;اِحْتِرَاز;اسم;"اطمئنان";"اِطْمِئْنَان"
263;احتراس;اِحْتِرَاس;اسم;"اطمئنان";"اِطْمِئْنَان"
264;احتراف;اِحْتِرَاف;اسم;"تبطّل;بطالة";"تَبَطُّل;بَطَالَة"
265;احترام;اِحْتِرَام;اسم;"احتقار";"اِحْتِقَار"
266;احترز ;اِحْتَرَزَ ;فعل;"اطمأنّ";"اِطْمَأَنَّ"
267;احترس ;اِحْتَرَسَ ;فعل;"اطمأنّ";"اِطْمَأَنَّ"
268;احترف ;اِحْتَرَفَ ;فعل;"تبطّل";"تَبَطَّلَ"
269;احترم ;اِحْتَرَمَ ;فعل;"احتقر";"اِحْتَقَرَ"
270;احتشاد;اِحْتِشَاد;اسم;"تفرقة";"تَفْرِقَة"
271;احتشام;اِحْتِشَام;اسم;"خلاعة;فسق";"خَلاَعَة;فِسْق"
272;احتشد;اِحْتَشَدَ;فعل;"تفرّق";"تَفَرَّقَ"
273;احتشم;اِحْتَشَمَ;فعل;"تبذّل;تهتّك";"تَبَذَّلَ;تَهَتَّكَ"
274;احتفى;اِحْتَفَى;فعل;"انتعل";"اِنْتَعَلَ"
275;احتفى (به);اِحْتَفَى (بِهِ);فعل;"احتقر;أهمل";"اِحْتَقَرَ;أَهْمَلَ"
276;احتفاء;اِحْتِفِاء;اسم;"انتعال;احتقار;إهمال";"اِنْتِعِال;اِحْتِقَار;إِهْمَال"
277;احتفال;اِحْتِفَال;اسم;"تشتّت;تفرق";"تَشَتُّت;تَفَرُق"
278;احتفل;اِحْتَفَلَ;فعل;"تفرّق;تشتّت";"تَفَرَّقَ;تَشَتَّتَ"
279;احتقار;اِحْتِقِار;اسم;"احترام;تعظيم;تبجيل";"اِحْتِرِام;تَعْظِيم;تَبْجِيل"
280;احتقان;اِحْتِقَان;اسم;"تنفيس";"تَنْفِيس"
281;احتقر;اِحْتَقَرَ;فعل;"احترم;عظّم;بجّل";"اِحْتَرَمَ;عَظَّمَ;بَجَّلَ"
282;احتقن;اِحْتَقَنَ;فعل;"نفّس";"نَفَّسَ"
283;احتل (البلاد);اِحْتَلَ (البِلاَد);فعل;"جلا (عنها)";"جَلاَ (عَنَْهَا)"
284;احتلال;اِحْتِلاَل;اسم;"جلاء";"جَلاَء"
285;احتياج;اِحْتِيَاج;اسم;"كفاية;اكتفاء";"كِفَايَة;اِكْتِفَاء"
286;إحجام;إِحْجَام;اسم;"إقدام";"إِقْدَام"
287;أحجم (عن الأمر);أَحْجَمَ (عَنِ الأَمْرِ);فعل;"أقدم (عليه)";"أَقْدَمَ (عَلَيْهِ)"
288;أحدث;أَحْدَث;اسم;"أقدم";"أَقَْدَم"
289;إحزان;إِحْزَان;اسم;"إفراح";"إِفْرَاح"
